sample_status,n_rows,n_households,rows_per_household,weighted_population,age_mean,income_mean,target_households,household_gap_vs_target
00 parsed SCF public sample,22210,4442,5,106495808.95200083,48.9738905730901,67204.18894215328,2878,1564
01 age 25-64,16725,3345,5,77975168.07400003,43.588209694174374,76512.9947810388,2878,467
02 + income >= $200/month,16560,3312,5,77252909.84600003,43.55910107055002,77277.75821729665,2878,434
03 + complete income reporter candidate,16400,3280,5,76493399.74999997,43.507565059977686,77334.95040657028,2878,402
04 + valid income/asset/cc-debt info,14390,2878,5,66631557.0099999,43.292434147007455,77434.81839834929,2878,0
