group,n_implicate_rows,n_households_distinct,weighted_population,share_pct,cc_rate_pct
Borrow,541,110,3279593.6739999996,4.921982647813267,16.03732759300963
Borrow and save,3073,615,17828104.496000014,26.756247784100882,13.68256371791462
Save,10776,2156,45523858.83999998,68.321769568086,9.282843827770275
