group,famstruct4,roster_under18,roster_under16
Borrow,41.139673880991324,59.158290703267205,53.95160869869153
Borrow and save,44.14851943159011,46.26222067810487,40.9301145219486
Save,37.100078531040495,44.18001579059463,41.25161978030592
Population,39.16748048688596,45.54861766391732,41.86566434551941
