characteristic,Borrow,Borrow and save,Save,Share in population
Race: white,0.7062104377019234,0.7975257159385691,0.7417069654106679,0.7548948356775002
Marital status: married,0.46362174803975426,0.588467547649492,0.5347284452655163,0.5456071533574391
Have dependent children,0.4254138038686803,0.43825917061194225,0.371000785310405,0.3916748048688596
Head works full-time,0.7474295207461724,0.8979953450234706,0.7796160347201362,0.8097056816772704
Head white-collar/prof.,0.3891679832530378,0.5650130198788116,0.4862335895073707,0.502534456803622
Education: less than HS,0.16555658839827367,0.06332948240534025,0.17875448697353907,0.14722148846871158
HS/some college,0.7036918488701772,0.6159250214437378,0.4987102551607868,0.5401616869405975
College degree or more,0.13075156273154828,0.320745496150922,0.3225352578656753,0.31261682459069406
