group,dependent_children_main,famstruct4,roster_under18,roster_under16
Borrow,42.54138038686803,42.54138038686803,59.15642457114949,54.4853813497141
Borrow and save,43.825917061194225,43.825917061194225,46.5400837529396,41.11214251433447
Save,37.100078531040495,37.100078531040495,44.18001579059463,41.25161978030592
