variant,mae,max_abs,borrow,borrow_save,save,n_borrow,n_borrow_save,n_save
current_all_j,0.5906400157749108,1.2373275930096277,16.03732759300963,13.68256371791462,9.282843827770275,1,1,1
j_lt_90_nonmissing_origin,0.9487060045152648,1.5255621084961852,16.325562108496186,13.722514422392926,8.501958517343319,1,1,1
j_not_2050plus,0.9487060045152648,1.5255621084961852,16.325562108496186,13.722514422392926,8.501958517343319,1,1,1
reported_or_inapp_zero,0.9642048016091197,1.5255621084961852,16.325562108496186,13.782574233863485,8.515521937532313,1,1,1
imputed_2050plus_only,2.212636651054393,4.985295361676394,13.80694564269712,13.040439765816096,14.785295361676395,1,1,1
j_not_inapp_or_missing,2.412363974621099,4.454600532405344,17.34971707415569,13.932774317302261,14.254600532405345,1,1,1
j0_reported_only,2.4519224592640376,4.511280729594441,17.34971707415569,13.99476957404198,14.311280729594442,1,1,1
