frequency,calendar_years,liquid_share_column,measure,n_stage1,n_ar,n_households_stage1,n_households_ar,rho,eta_sd_log_points,eta_sd_percent,first_stage_residual_variance,ar1_implied_residual_variance,residual_variance_gap,residual_variance_relative_gap
monthly,2018-2019,weighted_dollar_share_broad,benchmark,131847,110829,19858,19858,0.1405246873167233,0.27136654798584364,27.136654798584363,0.07512797587449802,0.07512327681711513,4.699057382887006e-6,6.255128346340229e-5
monthly,2018-2019,weighted_dollar_share_broad,excluding_food,131417,110469,19786,19785,0.1392355688496604,0.28531715969988336,28.531715969988337,0.08384532964281334,0.08301526059084884,8.300690519645049e-4,0.009998993511031722
monthly,2018-2019,weighted_dollar_share_broad,excluding_food_property_taxes,131285,110352,19767,19764,0.10935748820355934,0.32467466011964186,32.467466011964184,0.10798849175281743,0.10668954157702942,0.0012989501757880023,0.012175046931382355
