id,date,diary_day,tran,time,amnt,pi,merch,device,in_person,tran_report,amnt_orig,pi_orig,in_person_orig,device_orig,bill_orig,pay030,past_service,why_not_billpref,fee_flag,from_bill_section,regularity,late_fee,receipt_timing,cc_num_used,automatic,merch_orig,report_date,pay010,pay020,pay040,pay041,pay050,pay082,durable_type,why_not_pref,debit_auth,prepaid_logo,pay_timing,monord_source,monord_date,mobile_funding,otherpi_type,otherpi_funding,mobile_method,unexpected,can_postpone,used_heloc,borrowed_for_purchase,prior_goods,prior_goods_time,mobile_whichapp,frequency,fixed_amount,pay011,loan_amnt_due,inconsistency_explain,paypref_tran,dc_num_used,authorization_method,cc_debt_amnt,pay016,pay042,cc_debt_canpay,module,due_date,draft_date,discount,tran_min,from_account,date_authorized,ind_payee,enough_cash,accept_cash,accept_card,payee_orig,p2p_purpose,to_account,multipi_breakdown,checker,hh_income,home_value,home_debt,other_assets,other_debts,hh_income_gt500k,bill,payee,cw_location,cw_source,cd_location,cd_account,tran_account,fee_amnt,tran_inst,tran_days,check_dep_src,income_type,income_howpaid,split_income_deposit,ppload_gpr,ppload_loc,ow_type,coin2cash_coin_amnt,coin2cash_loc,coin2cash_reimburse,cash_move,payment,income
100221,2019-10-13,1,3,1600,5,1,7,7,1,1,5,1,1,7,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Purchases,NA,NA,0,3,NA,NA,NA,NA,NA,1,8,NA,NA,,0,40000,NA,NA,50000,20000,NA,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
100221,2019-10-14,2,1,0,13.5,4,16,3,0,3,13.5,10,0,3,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,6,NA,9,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Purchases,NA,NA,NA,NA,2,NA,3,NA,NA,NA,6,6,NA,,0,40000,NA,NA,50000,20000,NA,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
100221,2019-10-14,2,2,1500,10,1,6,7,1,2,10,1,1,7,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Purchases,NA,NA,0,0,NA,NA,NA,NA,NA,1,8,NA,NA,,0,40000,NA,NA,50000,20000,NA,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
100221,2019-10-14,2,3,1559,60,3,6,6,1,1,60,3,1,6,0,NA,NA,NA,0,2,NA,NA,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Purchases,NA,NA,0,0,NA,NA,NA,0,1,NA,8,NA,NA,,0,40000,NA,NA,50000,20000,NA,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
104666,2019-10-18,1,2,NA,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Income/Checking Deposits duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1
104666,2019-10-19,2,1,2000,75,1,3,7,1,1,75,1,1,7,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Purchases,NA,NA,0,4,NA,NA,NA,NA,NA,1,7,NA,NA,,0,50000,110000,85000,70000,20000,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
104666,2019-10-19,2,2,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Cash lost/stolen/found/forex/etc,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0
104666,2019-10-20,3,1,1200,19.5,1,1,7,1,1,19.5,1,1,7,0,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Purchases,NA,NA,0,4,NA,NA,NA,NA,NA,1,7,NA,NA,,0,50000,110000,85000,70000,20000,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
104666,2019-10-20,3,2,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Cash lost/stolen/found/forex/etc,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0
102350,2019-10-30,1,2,NA,300,6,8,1,0,2,300,6,0,1,1,NA,NA,5,NA,1,3,NA,1,NA,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,1,NA,NA,2,NA,NA,,NA,NA,NA,NA,NA,NA,NA,Bill Reminders,2019-11-30,2019-11-30,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,,0,50000,300000,25000,0,16000,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
