id,date,login_date,diary_day,why_nocash,denom_1_end,denom_2_end,denom_5_end,denom_10_end,denom_20_end,denom_50_end,denom_100_end,denom_1_stored,denom_2_stored,denom_5_stored,denom_10_stored,denom_20_stored,denom_50_stored,denom_100_stored,chk_bal,chk_bal_time,gpr_bal,gpr_bal_date,gpr_bal_time,paypal_bal,paypal_bal_time,sav_bal,sav_bal_time,nopayments,carry_csh,carry_chk,carry_cc,carry_dc,carry_prepaid,carry_banp,carry_obbp,carry_monord,carry_paypal,carry_acnt2acnt,carry_oth,carry_coins,used_coins,num_times_used_coins,pay_amnt_coins,penny_change,penny_wherekeep,penny_howuse,fastpay_heardof,fastpay_use,fastpay_other_use,fastpay_other_know,dow_weight,daily_weight,fastpay_use_z,fastpay_use_v,fastpay_use_p,fastpay_use_b,fastpay_use_o,fastpay_know_z,fastpay_know_v,fastpay_know_p,fastpay_know_b,fastpay_know_o,traveled,end_cash_bal
103757,2019-10-10,2019-10-11,2,NA,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,2750,2100,NA,NA,NA,NA,,NA,,1,1,1,0,1,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,,,2.3058793544769287,0.9505933523178101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,60
103757,2019-10-11,2019-10-11,3,NA,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2750,2005,NA,NA,NA,NA,,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,2.4111812114715576,1.2457882165908813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,60
101830,2019-10-03,2019-10-04,0,NA,8,0,2,0,0,0,0,0,0,0,0,0,0,0,1873,1900,NA,NA,NA,NA,,4845,07:05 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
101830,2019-10-04,2019-10-05,1,NA,8,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1253,859,NA,NA,NA,NA,,NA,,NA,1,1,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,1,3,4,2,NA,,,0.2981669008731842,0.375873327255249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
101830,2019-10-05,2019-10-06,2,NA,8,0,2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1253,2130,NA,NA,NA,NA,,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,0.312893807888031,0.36380302906036377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
101830,2019-10-06,2019-10-07,3,NA,8,0,2,0,0,0,0,0,0,0,0,0,0,0,1253,851,NA,NA,NA,NA,,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,0.4373456835746765,0.38811182975769043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18
103125,2019-10-04,2019-10-09,0,NA,2,0,3,4,5,0,0,0,0,0,0,0,0,0,3500,1430,0,2019-10-04,1430,NA,,3500,02:30 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157
103125,2019-10-05,2019-10-09,1,NA,2,0,3,4,5,0,0,NA,NA,NA,NA,NA,NA,NA,3500,1533,NA,NA,NA,NA,,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,3,1,2,NA,,,0.24996253848075867,0.3169863522052765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,157
103125,2019-10-06,2019-10-10,2,NA,2,0,3,4,5,0,0,NA,NA,NA,NA,NA,NA,NA,3508,1530,NA,NA,NA,NA,,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,0.2495628446340561,0.2990327775478363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,157
103125,2019-10-07,2019-10-10,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3508,1530,0,2019-10-10,1448,NA,,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,0.24996167421340942,0.32199057936668396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
103804,2019-10-22,2019-10-22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6340,2236,NA,NA,NA,NA,,37529,10:36 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
103804,2019-10-23,2019-10-23,1,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4662,1816,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,3,3,1,2,NA,,,0.4205065369606018,1.1440134048461914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
103804,2019-10-24,2019-10-24,2,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5105,2249,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,0.41266873478889465,1.2853666543960571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
103804,2019-10-25,2019-10-25,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5064,1922,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,0.4601479172706604,1.5507142543792725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
104369,2019-10-23,2019-10-25,0,NA,8,0,0,1,0,0,0,46,0,14,4,6,4,2,1081,2200,239,2019-10-25,1427,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
104369,2019-10-24,2019-10-25,1,NA,10,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1081,2300,NA,NA,NA,NA,,NA,,NA,1,1,1,1,1,0,1,0,1,0,0,0,0,NA,NA,1,3,6,1,1,,,0.5700346231460571,1.2853666543960571,0,0,1,0,0,NA,NA,NA,NA,NA,0,10
104369,2019-10-25,2019-10-25,2,NA,6,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,1081,2144,NA,NA,NA,NA,,NA,,NA,1,1,1,1,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,0.6663810014724731,1.5507142543792725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,26
104369,2019-10-26,2019-10-26,3,NA,6,0,0,0,1,0,0,0,0,0,0,0,0,0,890,2210,239,2019-10-26,2211,NA,,NA,,NA,1,0,1,1,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,,,0.6364315748214722,1.0867513418197632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,26
103953,2019-10-04,2019-10-05,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,126,920,NA,NA,NA,NA,,0,09:20 AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
103953,2019-10-05,2019-10-06,1,NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,126,908,NA,NA,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,1,1,1,,,4.000033855438232,3.914675712585449,0,0,0,1,0,NA,NA,NA,NA,NA,0,5
103953,2019-10-06,2019-10-06,2,NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,126,2014,NA,NA,NA,NA,,NA,,1,1,0,1,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,,4.000342845916748,3.443918466567993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5
103953,2019-10-07,2019-10-08,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,1027,NA,NA,NA,NA,,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,3.993351936340332,3.572666645050049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
104320,2019-09-29,2019-10-01,0,NA,5,0,1,1,0,0,0,0,0,0,0,0,0,0,650,2230,NA,NA,NA,NA,,15,10:30 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
104320,2019-09-30,2019-10-01,1,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,650,1800,NA,NA,NA,NA,,NA,,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,1,3,3,1,1,,,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,0,0
104320,2019-10-01,2019-10-02,2,NA,10,0,3,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,440,2200,NA,NA,NA,NA,,NA,,NA,1,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,,,0.6278785467147827,0.5864664912223816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,55
104320,2019-10-02,2019-10-02,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,1832,NA,NA,NA,NA,,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,0.567353367805481,0.5968127846717834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
101480,2019-10-17,2019-10-20,0,NA,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,1915,10,2019-10-17,2016,NA,,1000,06:15 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
101480,2019-10-18,2019-10-21,1,NA,7,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1500,1835,NA,NA,NA,NA,,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,1,6,2,NA,,,0.3397219181060791,0.8786402940750122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7
101480,2019-10-19,2019-10-22,2,NA,7,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1500,2028,NA,NA,NA,NA,,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,,,0.3401528596878052,0.90025794506073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7
101480,2019-10-20,2019-10-24,3,NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1450,1709,10,2019-10-27,1709,NA,,NA,,NA,1,0,1,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,,,0.3877887427806854,0.9802465438842773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3
103934,2019-09-30,2019-10-01,0,NA,1,0,0,0,3,0,0,0,0,0,0,3,0,0,3006,1635,NA,NA,NA,NA,,1005,04:36 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
103934,2019-10-01,2019-10-02,1,NA,1,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,3005,716,NA,NA,NA,NA,,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,3,3,5,2,NA,,,0.4105816185474396,0.44242411851882935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,61
103934,2019-10-02,2019-10-03,2,NA,3,0,1,1,2,0,0,NA,NA,NA,NA,NA,NA,NA,1629,1830,NA,NA,NA,NA,,NA,,NA,1,1,1,1,0,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,,,0.36287301778793335,0.29974421858787537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,58
103934,2019-10-03,2019-10-03,3,NA,3,0,1,1,2,0,0,0,0,0,0,0,0,0,1629,2224,NA,NA,NA,NA,,NA,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,,,0.3504761755466461,0.27134692668914795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,58
101733,2019-10-15,2019-10-15,0,NA,0,0,3,1,0,0,0,0,0,0,0,0,0,0,20,1630,NA,NA,NA,NA,,1443,04:30 PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
