sample_scope,payment_pi,payment_type,weighted_count_numerator,weighted_count_denominator,weighted_dollar_numerator,weighted_dollar_denominator,weighted_count_share,weighted_dollar_share
full_unrestricted,1,Cash,2689.270103663206,10425.859557852149,67913.95744344169,1086453.538639598,0.2579422913516809,0.06250976689576629
full_unrestricted,2,Check,495.5493217110634,10425.859557852149,183792.6905422575,1086453.538639598,0.04753078812939165,0.16916755664710098
full_unrestricted,3,Credit card,2503.051557764411,10425.859557852149,153817.7502818981,1086453.538639598,0.2400810737834329,0.14157784462141002
full_unrestricted,4,Debit card,3205.4318888932467,10425.859557852149,167018.68570919902,1086453.538639598,0.30745013119605114,0.15372832778319387
full_unrestricted,5,Prepaid/gift/EBT card,181.0419234484434,10425.859557852149,7110.602883435788,1086453.538639598,0.017364699998485323,0.006544783214880338
full_unrestricted,6,Bank account number payment,646.9803108125925,10425.859557852149,237603.17846115778,1086453.538639598,0.06205534490682111,0.2186961246025048
full_unrestricted,7,Online banking bill payment,456.4648261964321,10425.859557852149,213049.57864500277,1086453.538639598,0.043781984944603385,0.1960963548535841
full_unrestricted,8,Money order,22.347250744700432,10425.859557852149,3452.387788847983,1086453.538639598,0.0021434444441436763,0.0031776672136121786
full_unrestricted,10,Mobile payment app,14.584373340010643,10425.859557852149,1051.5360859636962,1086453.538639598,0.0013988653174429675,9.678610714272939e-4
full_unrestricted,11,Account-to-account transfer,84.39049488306046,10425.859557852149,35143.96822593629,1086453.538639598,0.008094344108011934,0.0323474193566913
full_unrestricted,13,Other payment method,79.31793741881847,10425.859557852149,8773.876361876279,1086453.538639598,0.007607807968128712,0.008075703239792915
full_unrestricted,14,Deduction from income,47.429568976163864,10425.859557852149,7725.3262105783815,1086453.538639598,0.004549223851806317,0.007110590500033386
liquid_consumption_goods,1,Cash,1485.1811250895262,5498.49665223062,27881.77661246837,416401.20806483977,0.2701067617249563,0.06695892344319704
liquid_consumption_goods,2,Check,242.1121506690979,5498.49665223062,70696.10920791716,416401.20806483977,0.044032426676276736,0.16977882829991392
liquid_consumption_goods,3,Credit card,1270.0643056184053,5498.49665223062,50270.67092217979,416401.20806483977,0.23098391905052226,0.12072652516020536
liquid_consumption_goods,4,Debit card,1819.8520189076662,5498.49665223062,91981.6813557542,416401.20806483977,0.3309726519828637,0.22089676872750885
liquid_consumption_goods,5,Prepaid/gift/EBT card,132.2240862250328,5498.49665223062,5344.377115335465,416401.20806483977,0.024047315946149093,0.01283468206101666
liquid_consumption_goods,6,Bank account number payment,230.99065019190311,5498.49665223062,79110.32230046095,416401.20806483977,0.042009782819126616,0.1899858136053782
liquid_consumption_goods,7,Online banking bill payment,206.46960520744324,5498.49665223062,66815.425609249025,416401.20806483977,0.03755019203725131,0.16045925015386817
liquid_consumption_goods,8,Money order,9.44883668422699,5498.49665223062,1795.5381778123974,416401.20806483977,0.0017184400176717034,0.0043120388294666185
liquid_consumption_goods,10,Mobile payment app,6.700430735945702,5498.49665223062,282.1144146345556,416401.20806483977,0.001218593219153363,6.775062347816874e-4
liquid_consumption_goods,11,Account-to-account transfer,24.968675211071968,5498.49665223062,13121.265967796893,416401.20806483977,0.004541000347966516,0.031511114073794234
liquid_consumption_goods,13,Other payment method,51.61202684044838,5498.49665223062,6411.6587477874755,416401.20806483977,0.00938657056734053,0.015397790937218141
liquid_consumption_goods,14,Deduction from income,18.872740849852562,5498.49665223062,2690.2676334434746,416401.20806483977,0.003432345610721851,0.006460758473651115
