sample_scope,id,payment_pi,payment_type,weighted_count_denominator,weighted_count_numerator,weighted_dollar_denominator,weighted_dollar_numerator,weighted_count_share,weighted_dollar_share
full_unrestricted,100003,1,Cash,2.135504722595215,0,61.50253601074219,0,0,0
full_unrestricted,100003,2,Check,2.135504722595215,0,61.50253601074219,0,0,0
full_unrestricted,100003,3,Credit card,2.135504722595215,0,61.50253601074219,0,0,0
full_unrestricted,100003,4,Debit card,2.135504722595215,2.135504722595215,61.50253601074219,61.50253601074219,1,1
full_unrestricted,100003,5,Prepaid/gift/EBT card,2.135504722595215,0,61.50253601074219,0,0,0
full_unrestricted,100003,6,Bank account number payment,2.135504722595215,0,61.50253601074219,0,0,0
full_unrestricted,100003,7,Online banking bill payment,2.135504722595215,0,61.50253601074219,0,0,0
full_unrestricted,100003,8,Money order,2.135504722595215,0,61.50253601074219,0,0,0
full_unrestricted,100003,10,Mobile payment app,2.135504722595215,0,61.50253601074219,0,0,0
full_unrestricted,100003,11,Account-to-account transfer,2.135504722595215,0,61.50253601074219,0,0,0
full_unrestricted,100003,13,Other payment method,2.135504722595215,0,61.50253601074219,0,0,0
full_unrestricted,100003,14,Deduction from income,2.135504722595215,0,61.50253601074219,0,0,0
full_unrestricted,100004,1,Cash,1.7995642721652985,0,53.28202935159206,0,0,0
full_unrestricted,100004,2,Check,1.7995642721652985,0,53.28202935159206,0,0,0
full_unrestricted,100004,3,Credit card,1.7995642721652985,1.7995642721652985,53.28202935159206,53.28202935159206,1,1
full_unrestricted,100004,4,Debit card,1.7995642721652985,0,53.28202935159206,0,0,0
full_unrestricted,100004,5,Prepaid/gift/EBT card,1.7995642721652985,0,53.28202935159206,0,0,0
full_unrestricted,100004,6,Bank account number payment,1.7995642721652985,0,53.28202935159206,0,0,0
full_unrestricted,100004,7,Online banking bill payment,1.7995642721652985,0,53.28202935159206,0,0,0
full_unrestricted,100004,8,Money order,1.7995642721652985,0,53.28202935159206,0,0,0
full_unrestricted,100004,10,Mobile payment app,1.7995642721652985,0,53.28202935159206,0,0,0
full_unrestricted,100004,11,Account-to-account transfer,1.7995642721652985,0,53.28202935159206,0,0,0
full_unrestricted,100004,13,Other payment method,1.7995642721652985,0,53.28202935159206,0,0,0
full_unrestricted,100004,14,Deduction from income,1.7995642721652985,0,53.28202935159206,0,0,0
full_unrestricted,100007,1,Cash,2.2041192054748535,0,1653.0894041061401,0,0,0
full_unrestricted,100007,2,Check,2.2041192054748535,0,1653.0894041061401,0,0,0
full_unrestricted,100007,3,Credit card,2.2041192054748535,0,1653.0894041061401,0,0,0
full_unrestricted,100007,4,Debit card,2.2041192054748535,2.2041192054748535,1653.0894041061401,1653.0894041061401,1,1
full_unrestricted,100007,5,Prepaid/gift/EBT card,2.2041192054748535,0,1653.0894041061401,0,0,0
full_unrestricted,100007,6,Bank account number payment,2.2041192054748535,0,1653.0894041061401,0,0,0
full_unrestricted,100007,7,Online banking bill payment,2.2041192054748535,0,1653.0894041061401,0,0,0
full_unrestricted,100007,8,Money order,2.2041192054748535,0,1653.0894041061401,0,0,0
full_unrestricted,100007,10,Mobile payment app,2.2041192054748535,0,1653.0894041061401,0,0,0
full_unrestricted,100007,11,Account-to-account transfer,2.2041192054748535,0,1653.0894041061401,0,0,0
full_unrestricted,100007,13,Other payment method,2.2041192054748535,0,1653.0894041061401,0,0,0
full_unrestricted,100007,14,Deduction from income,2.2041192054748535,0,1653.0894041061401,0,0,0
full_unrestricted,100009,1,Cash,0.4509615302085877,0,15.779143941998484,0,0,0
full_unrestricted,100009,2,Check,0.4509615302085877,0,15.779143941998484,0,0,0
full_unrestricted,100009,3,Credit card,0.4509615302085877,0,15.779143941998484,0,0,0
full_unrestricted,100009,4,Debit card,0.4509615302085877,0,15.779143941998484,0,0,0
full_unrestricted,100009,5,Prepaid/gift/EBT card,0.4509615302085877,0.4509615302085877,15.779143941998484,15.779143941998484,1,1
full_unrestricted,100009,6,Bank account number payment,0.4509615302085877,0,15.779143941998484,0,0,0
full_unrestricted,100009,7,Online banking bill payment,0.4509615302085877,0,15.779143941998484,0,0,0
full_unrestricted,100009,8,Money order,0.4509615302085877,0,15.779143941998484,0,0,0
full_unrestricted,100009,10,Mobile payment app,0.4509615302085877,0,15.779143941998484,0,0,0
full_unrestricted,100009,11,Account-to-account transfer,0.4509615302085877,0,15.779143941998484,0,0,0
full_unrestricted,100009,13,Other payment method,0.4509615302085877,0,15.779143941998484,0,0,0
full_unrestricted,100009,14,Deduction from income,0.4509615302085877,0,15.779143941998484,0,0,0
full_unrestricted,100011,1,Cash,0.9999228417873383,0,79.18379088148475,0,0,0
full_unrestricted,100011,2,Check,0.9999228417873383,0.2499811351299286,79.18379088148475,7.4719361290335655,0.25000042471586437,0.09436194006191108
full_unrestricted,100011,3,Credit card,0.9999228417873383,0,79.18379088148475,0,0,0
full_unrestricted,100011,4,Debit card,0.9999228417873383,0.2499811351299286,79.18379088148475,2.9947739988565445,0.25000042471586437,0.03782054339048828
full_unrestricted,100011,5,Prepaid/gift/EBT card,0.9999228417873383,0,79.18379088148475,0,0,0
full_unrestricted,100011,6,Bank account number payment,0.9999228417873383,0,79.18379088148475,0,0,0
full_unrestricted,100011,7,Online banking bill payment,0.9999228417873383,0.49996057152748113,79.18379088148475,68.71708075359464,0.4999991505682714,0.8678175165476006
full_unrestricted,100011,8,Money order,0.9999228417873383,0,79.18379088148475,0,0,0
full_unrestricted,100011,10,Mobile payment app,0.9999228417873383,0,79.18379088148475,0,0,0
full_unrestricted,100011,11,Account-to-account transfer,0.9999228417873383,0,79.18379088148475,0,0,0
full_unrestricted,100011,13,Other payment method,0.9999228417873383,0,79.18379088148475,0,0,0
full_unrestricted,100011,14,Deduction from income,0.9999228417873383,0,79.18379088148475,0,0,0
full_unrestricted,100013,1,Cash,12.023707389831543,4.020775318145752,3402.161717414856,201.0387659072876,0.3344039560997737,0.059091478479173405
full_unrestricted,100013,2,Check,12.023707389831543,0,3402.161717414856,0,0,0
full_unrestricted,100013,3,Credit card,12.023707389831543,0,3402.161717414856,0,0,0
full_unrestricted,100013,4,Debit card,12.023707389831543,4.001590728759766,3402.161717414856,800.3181457519531,0.3328083925382211,0.23523812570558156
full_unrestricted,100013,5,Prepaid/gift/EBT card,12.023707389831543,0,3402.161717414856,0,0,0
full_unrestricted,100013,6,Bank account number payment,12.023707389831543,4.001341342926025,3402.161717414856,2400.8048057556152,0.3327876513620052,0.705670395815245
full_unrestricted,100013,7,Online banking bill payment,12.023707389831543,0,3402.161717414856,0,0,0
