transaction_row_id,id,diary_day,tran,transaction_date,diary_date,dow_weight,amnt,payment,pi,payment_instrument,multipi_breakdown,mixed_payment_method,ambiguous_payment_method,merch,tely_group,tely_category,category_rule,crosswalk_quality,pay010,pay011,pay016,pay020,pay030,pay040,pay041,pay042,pay050,count_eligible,dollar_eligible,liquid_narrow_count,liquid_broad_count,not_liquid_narrow_count,not_liquid_broad_count,liquid_narrow_amount,liquid_broad_amount,parsed_component_total,component_total_gap,component_total_matches
14461,103340,3,1,2019-10-02,2019-10-02,3.0669829845428467,1.03,1,1,Cash,,FALSE,FALSE,1,food_alcohol_tobacco_proxy,food_grocery_proxy,merch1_grocery_convenience_pharmacy,merchant_proxy,,,,,,,,,,TRUE,TRUE,1,1,0,0,1.03,1.03,1.03,0,TRUE
14464,102736,1,2,2019-10-29,2019-10-29,0.5861933827400208,82.02,1,4,Debit card,,FALSE,FALSE,1,food_alcohol_tobacco_proxy,food_grocery_proxy,merch1_grocery_convenience_pharmacy,merchant_proxy,,,,,,,,,,TRUE,TRUE,1,1,0,0,82.02,82.02,82.02,0,TRUE
14468,104528,1,1,2019-10-19,2019-10-19,1.2489731311798096,20,1,2,Check,,FALSE,FALSE,17,cash_contributions,cash_contributions,merch17_pay050_donation_or_offering,followup_identified,,,,,,,,,2,TRUE,TRUE,1,1,0,0,20,20,20,0,TRUE
14469,104528,2,1,2019-10-20,2019-10-20,0.978541612625122,20,1,2,Check,,FALSE,FALSE,17,cash_contributions,cash_contributions,merch17_pay050_donation_or_offering,followup_identified,,,,,,,,,2,TRUE,TRUE,1,1,0,0,20,20,20,0,TRUE
14470,101996,2,1,2019-10-09,2019-10-09,1.8214250802993777,208,1,4,Debit card,,FALSE,FALSE,10,utilities,communications_entertainment_proxy,merch10_communications_streaming_movies,merchant_proxy,,,,,,,,,,TRUE,TRUE,1,1,0,0,208,208,208,0,TRUE
14471,101996,3,1,2019-10-10,2019-10-10,1.8643370866775513,11,1,4,Debit card,,FALSE,FALSE,8,utilities,utilities,merch8_nongovernment_utility,merchant_or_followup_match,,,,,,,,,,TRUE,TRUE,1,1,0,0,11,11,11,0,TRUE
14472,101996,3,2,2019-10-10,2019-10-10,1.8643370866775513,709,1,14,Deduction from income,,FALSE,TRUE,15,mortgage,mortgage_payment,merch15_pay010_loan_pay011_mortgage,followup_identified,2,1,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,709,0,TRUE
14473,104524,1,1,2019-10-12,2019-10-12,1.15557861328125,3.0700000000000003,1,4,Debit card,,FALSE,FALSE,1,food_alcohol_tobacco_proxy,food_grocery_proxy,merch1_grocery_convenience_pharmacy,merchant_proxy,,,,,,,,,,TRUE,TRUE,1,1,0,0,3.0700000000000003,3.0700000000000003,3.0700000000000003,0,TRUE
14474,104524,1,2,2019-10-12,2019-10-12,1.15557861328125,107.95,1,3,Credit card,,FALSE,FALSE,1,food_alcohol_tobacco_proxy,food_grocery_proxy,merch1_grocery_convenience_pharmacy,merchant_proxy,,,,,,,,,,TRUE,TRUE,0,0,1,1,0,0,107.95,0,TRUE
14476,104524,1,4,2019-10-12,2019-10-12,1.15557861328125,2,1,1,Cash,,FALSE,FALSE,1,food_alcohol_tobacco_proxy,food_grocery_proxy,merch1_grocery_convenience_pharmacy,merchant_proxy,,,,,,,,,,TRUE,TRUE,1,1,0,0,2,2,2,0,TRUE
