transaction_row_id,component_number,component_label,component_pi,component_amount,component_source,component_liquid_narrow,component_liquid_broad,payment_instrument
2694,1,,4,157.41,single_method_pi,TRUE,TRUE,Debit card
2695,1,,2,100,single_method_pi,TRUE,TRUE,Check
2701,1,,1,20.93,single_method_pi,TRUE,TRUE,Cash
2705,1,,4,20.42,single_method_pi,TRUE,TRUE,Debit card
2708,1,,4,20,single_method_pi,TRUE,TRUE,Debit card
2709,1,,4,11.65,single_method_pi,TRUE,TRUE,Debit card
2710,1,,4,5.32,single_method_pi,TRUE,TRUE,Debit card
2711,1,,4,3.08,single_method_pi,TRUE,TRUE,Debit card
2715,1,,4,4.34,single_method_pi,TRUE,TRUE,Debit card
2716,1,,4,16.67,single_method_pi,TRUE,TRUE,Debit card
2717,1,,1,4.97,single_method_pi,TRUE,TRUE,Cash
2719,1,,4,42.71,single_method_pi,TRUE,TRUE,Debit card
2722,1,,2,500,single_method_pi,TRUE,TRUE,Check
2723,1,,4,219,single_method_pi,TRUE,TRUE,Debit card
2725,1,,4,5.62,single_method_pi,TRUE,TRUE,Debit card
2727,1,,1,1.61,single_method_pi,TRUE,TRUE,Cash
2728,1,,1,2.62,single_method_pi,TRUE,TRUE,Cash
2729,1,,1,1,single_method_pi,TRUE,TRUE,Cash
2730,1,,4,1.4,single_method_pi,TRUE,TRUE,Debit card
2731,1,,3,49.99,single_method_pi,FALSE,FALSE,Credit card
2736,1,,1,7.5,single_method_pi,TRUE,TRUE,Cash
2738,1,,1,2,single_method_pi,TRUE,TRUE,Cash
2739,1,,4,128,single_method_pi,TRUE,TRUE,Debit card
2740,1,,4,49,single_method_pi,TRUE,TRUE,Debit card
2741,1,,7,899,single_method_pi,FALSE,TRUE,Online banking bill payment
2743,1,,3,112,single_method_pi,FALSE,FALSE,Credit card
2745,1,,3,13,single_method_pi,FALSE,FALSE,Credit card
2747,1,,1,53,single_method_pi,TRUE,TRUE,Cash
2751,1,,3,40,single_method_pi,FALSE,FALSE,Credit card
2755,1,,4,45.14,single_method_pi,TRUE,TRUE,Debit card
2756,1,,3,33.27,single_method_pi,FALSE,FALSE,Credit card
2757,1,,3,103.94,single_method_pi,FALSE,FALSE,Credit card
2759,1,,6,114.04,single_method_pi,FALSE,TRUE,Bank account number payment
2760,1,,4,481,single_method_pi,TRUE,TRUE,Debit card
2766,1,,1,63.93,single_method_pi,TRUE,TRUE,Cash
2768,1,,4,114.14,single_method_pi,TRUE,TRUE,Debit card
2770,1,,2,163.24,single_method_pi,TRUE,TRUE,Check
2773,1,,3,10.68,single_method_pi,FALSE,FALSE,Credit card
2774,1,,3,8.38,single_method_pi,FALSE,FALSE,Credit card
2775,1,,3,11.15,single_method_pi,FALSE,FALSE,Credit card
2777,1,,3,54,single_method_pi,FALSE,FALSE,Credit card
2781,1,,3,14,single_method_pi,FALSE,FALSE,Credit card
2782,1,,1,5,single_method_pi,TRUE,TRUE,Cash
2784,1,,3,45.19,single_method_pi,FALSE,FALSE,Credit card
2785,1,,3,175.20000000000002,single_method_pi,FALSE,FALSE,Credit card
2787,1,,1,20,single_method_pi,TRUE,TRUE,Cash
2789,1,,1,45,single_method_pi,TRUE,TRUE,Cash
2790,1,,1,8.43,single_method_pi,TRUE,TRUE,Cash
2791,1,,7,66,single_method_pi,FALSE,TRUE,Online banking bill payment
2796,1,,1,1.22,single_method_pi,TRUE,TRUE,Cash
2797,1,,4,5.14,single_method_pi,TRUE,TRUE,Debit card
2798,1,,1,4,single_method_pi,TRUE,TRUE,Cash
2799,1,,4,12.68,single_method_pi,TRUE,TRUE,Debit card
2801,1,,3,26.42,single_method_pi,FALSE,FALSE,Credit card
2802,1,,3,18.24,single_method_pi,FALSE,FALSE,Credit card
2804,1,,4,16.47,single_method_pi,TRUE,TRUE,Debit card
2805,1,,1,0.75,single_method_pi,TRUE,TRUE,Cash
2806,1,,4,7.84,single_method_pi,TRUE,TRUE,Debit card
2810,1,,3,2.33,single_method_pi,FALSE,FALSE,Credit card
2811,1,,13,4.44,single_method_pi,FALSE,FALSE,Other payment method
2812,1,,3,11.12,single_method_pi,FALSE,FALSE,Credit card
2813,1,,3,8.94,single_method_pi,FALSE,FALSE,Credit card
2814,1,,3,2.33,single_method_pi,FALSE,FALSE,Credit card
2816,1,,3,9.63,single_method_pi,FALSE,FALSE,Credit card
2817,1,,3,2,single_method_pi,FALSE,FALSE,Credit card
2818,1,,3,6.04,single_method_pi,FALSE,FALSE,Credit card
2819,1,,3,25.68,single_method_pi,FALSE,FALSE,Credit card
2820,1,,3,15.35,single_method_pi,FALSE,FALSE,Credit card
2821,1,,3,2.33,single_method_pi,FALSE,FALSE,Credit card
2822,1,,13,6.65,single_method_pi,FALSE,FALSE,Other payment method
2823,1,,3,6.57,single_method_pi,FALSE,FALSE,Credit card
2825,1,,3,7.33,single_method_pi,FALSE,FALSE,Credit card
2828,1,,1,18,single_method_pi,TRUE,TRUE,Cash
2830,1,,3,2.97,single_method_pi,FALSE,FALSE,Credit card
2833,1,,3,63.33,single_method_pi,FALSE,FALSE,Credit card
2842,1,,5,11.55,single_method_pi,FALSE,FALSE,Prepaid/gift/EBT card
2852,1,,1,52.94,single_method_pi,TRUE,TRUE,Cash
2857,1,,4,153,single_method_pi,TRUE,TRUE,Debit card
2863,1,,7,42.54,single_method_pi,FALSE,TRUE,Online banking bill payment
2865,1,,1,20,single_method_pi,TRUE,TRUE,Cash
2866,1,,4,49.43,single_method_pi,TRUE,TRUE,Debit card
2867,1,,2,1408,single_method_pi,TRUE,TRUE,Check
2870,1,,1,5,single_method_pi,TRUE,TRUE,Cash
2872,1,,1,20,single_method_pi,TRUE,TRUE,Cash
2877,1,,1,48,single_method_pi,TRUE,TRUE,Cash
2884,1,,1,11.72,single_method_pi,TRUE,TRUE,Cash
2887,1,,1,2.05,single_method_pi,TRUE,TRUE,Cash
2888,1,,1,30,single_method_pi,TRUE,TRUE,Cash
2889,1,,1,9.2,single_method_pi,TRUE,TRUE,Cash
2890,1,,4,38.65,single_method_pi,TRUE,TRUE,Debit card
2891,1,,1,5,single_method_pi,TRUE,TRUE,Cash
2893,1,,1,7.61,single_method_pi,TRUE,TRUE,Cash
2896,1,,4,33.68,single_method_pi,TRUE,TRUE,Debit card
2897,1,,2,87.97,single_method_pi,TRUE,TRUE,Check
2899,1,,2,87,single_method_pi,TRUE,TRUE,Check
2905,1,,4,15.15,single_method_pi,TRUE,TRUE,Debit card
2909,1,,6,200,single_method_pi,FALSE,TRUE,Bank account number payment
2917,1,,4,72.8,single_method_pi,TRUE,TRUE,Debit card
2923,1,,4,9.34,single_method_pi,TRUE,TRUE,Debit card
2925,1,,4,26.2,single_method_pi,TRUE,TRUE,Debit card
2928,1,,3,29.6,single_method_pi,FALSE,FALSE,Credit card
2930,1,,6,10,single_method_pi,FALSE,TRUE,Bank account number payment
2931,1,,6,385,single_method_pi,FALSE,TRUE,Bank account number payment
2932,1,,4,8.57,single_method_pi,TRUE,TRUE,Debit card
2933,1,,4,9.88,single_method_pi,TRUE,TRUE,Debit card
2935,1,,4,7.54,single_method_pi,TRUE,TRUE,Debit card
2936,1,,4,75.11,single_method_pi,TRUE,TRUE,Debit card
2937,1,,4,4.04,single_method_pi,TRUE,TRUE,Debit card
2938,1,,4,4.98,single_method_pi,TRUE,TRUE,Debit card
2939,1,,4,3,single_method_pi,TRUE,TRUE,Debit card
2940,1,,4,10.43,single_method_pi,TRUE,TRUE,Debit card
2942,1,,1,1.45,single_method_pi,TRUE,TRUE,Cash
2946,1,,8,192.66,single_method_pi,FALSE,FALSE,Money order
2948,1,,13,100,single_method_pi,FALSE,FALSE,Other payment method
2949,1,,3,8.23,single_method_pi,FALSE,FALSE,Credit card
2950,1,,4,2.99,single_method_pi,TRUE,TRUE,Debit card
2952,1,,3,17.990000000000002,single_method_pi,FALSE,FALSE,Credit card
2954,1,,6,1352.42,single_method_pi,FALSE,TRUE,Bank account number payment
2955,1,,7,92.99,single_method_pi,FALSE,TRUE,Online banking bill payment
2956,1,,2,100,single_method_pi,TRUE,TRUE,Check
2959,1,,7,92.99,single_method_pi,FALSE,TRUE,Online banking bill payment
2961,1,,1,4.1,single_method_pi,TRUE,TRUE,Cash
2962,1,,3,20.74,single_method_pi,FALSE,FALSE,Credit card
2964,1,,7,46.15,single_method_pi,FALSE,TRUE,Online banking bill payment
2969,1,,7,46.15,single_method_pi,FALSE,TRUE,Online banking bill payment
2970,1,,1,10,single_method_pi,TRUE,TRUE,Cash
2971,1,,4,79,single_method_pi,TRUE,TRUE,Debit card
2972,1,,6,192.99,single_method_pi,FALSE,TRUE,Bank account number payment
2974,1,,6,45,single_method_pi,FALSE,TRUE,Bank account number payment
2975,1,,4,17.69,single_method_pi,TRUE,TRUE,Debit card
2978,1,,6,75,single_method_pi,FALSE,TRUE,Bank account number payment
2979,1,,6,338.43,single_method_pi,FALSE,TRUE,Bank account number payment
2987,1,,14,2.17,single_method_pi,FALSE,FALSE,Deduction from income
2991,1,,3,48.53,single_method_pi,FALSE,FALSE,Credit card
2992,1,,14,4.62,single_method_pi,FALSE,FALSE,Deduction from income
2995,1,,7,97,single_method_pi,FALSE,TRUE,Online banking bill payment
3000,1,,11,1068,single_method_pi,FALSE,TRUE,Account-to-account transfer
3003,1,,2,78,single_method_pi,TRUE,TRUE,Check
3004,1,,2,98,single_method_pi,TRUE,TRUE,Check
3006,1,,4,29.44,single_method_pi,TRUE,TRUE,Debit card
3007,1,,4,42.16,single_method_pi,TRUE,TRUE,Debit card
3009,1,,4,66.77,single_method_pi,TRUE,TRUE,Debit card
3010,1,,1,150,single_method_pi,TRUE,TRUE,Cash
3013,1,,2,200,single_method_pi,TRUE,TRUE,Check
3016,1,,3,107.13,single_method_pi,FALSE,FALSE,Credit card
3017,1,,3,90,single_method_pi,FALSE,FALSE,Credit card
3018,1,,3,180,single_method_pi,FALSE,FALSE,Credit card
3019,1,,3,125,single_method_pi,FALSE,FALSE,Credit card
3020,1,,3,45,single_method_pi,FALSE,FALSE,Credit card
3022,1,,4,3,single_method_pi,TRUE,TRUE,Debit card
3023,1,,4,14.59,single_method_pi,TRUE,TRUE,Debit card
3024,1,,4,16.81,single_method_pi,TRUE,TRUE,Debit card
3026,1,,4,12.58,single_method_pi,TRUE,TRUE,Debit card
3030,1,,3,20.96,single_method_pi,FALSE,FALSE,Credit card
3032,1,,4,5.8500000000000005,single_method_pi,TRUE,TRUE,Debit card
3034,1,,4,9.85,single_method_pi,TRUE,TRUE,Debit card
3035,1,,4,8.5,single_method_pi,TRUE,TRUE,Debit card
3037,1,,3,48,single_method_pi,FALSE,FALSE,Credit card
3039,1,,1,8.55,single_method_pi,TRUE,TRUE,Cash
3040,1,,1,6.13,single_method_pi,TRUE,TRUE,Cash
3041,1,,4,8.46,single_method_pi,TRUE,TRUE,Debit card
3043,1,,3,40,single_method_pi,FALSE,FALSE,Credit card
3044,1,,3,68.87,single_method_pi,FALSE,FALSE,Credit card
3045,1,,1,6,single_method_pi,TRUE,TRUE,Cash
3047,1,,4,16.3,single_method_pi,TRUE,TRUE,Debit card
3049,1,,1,2.17,single_method_pi,TRUE,TRUE,Cash
3050,1,,4,10.45,single_method_pi,TRUE,TRUE,Debit card
3052,1,,1,6.3500000000000005,single_method_pi,TRUE,TRUE,Cash
3054,1,,3,1.15,single_method_pi,FALSE,FALSE,Credit card
3056,1,,1,32.76,single_method_pi,TRUE,TRUE,Cash
3058,1,,3,36.19,single_method_pi,FALSE,FALSE,Credit card
3059,1,,3,24.56,single_method_pi,FALSE,FALSE,Credit card
3062,1,,3,7.46,single_method_pi,FALSE,FALSE,Credit card
3069,1,,3,9.76,single_method_pi,FALSE,FALSE,Credit card
3072,1,,1,31.47,single_method_pi,TRUE,TRUE,Cash
3073,1,,3,376.8,single_method_pi,FALSE,FALSE,Credit card
3077,1,,3,9.62,single_method_pi,FALSE,FALSE,Credit card
3078,1,,3,7,single_method_pi,FALSE,FALSE,Credit card
3082,1,,3,35,single_method_pi,FALSE,FALSE,Credit card
3083,1,,3,38,single_method_pi,FALSE,FALSE,Credit card
3084,1,,1,10,single_method_pi,TRUE,TRUE,Cash
3085,1,,1,10,single_method_pi,TRUE,TRUE,Cash
3087,1,,2,10,single_method_pi,TRUE,TRUE,Check
3089,1,,7,44.91,single_method_pi,FALSE,TRUE,Online banking bill payment
3090,1,,7,39.39,single_method_pi,FALSE,TRUE,Online banking bill payment
3094,1,,1,5.8,single_method_pi,TRUE,TRUE,Cash
3099,1,,5,198,single_method_pi,FALSE,FALSE,Prepaid/gift/EBT card
3100,1,,4,84.79,single_method_pi,TRUE,TRUE,Debit card
3103,1,,7,111,single_method_pi,FALSE,TRUE,Online banking bill payment
3105,1,,3,3.13,single_method_pi,FALSE,FALSE,Credit card
3108,1,,3,8.21,single_method_pi,FALSE,FALSE,Credit card
3109,1,,3,6.04,single_method_pi,FALSE,FALSE,Credit card
3110,1,,3,3.58,single_method_pi,FALSE,FALSE,Credit card
3111,1,,3,5.91,single_method_pi,FALSE,FALSE,Credit card
3112,1,,4,28.64,single_method_pi,TRUE,TRUE,Debit card
3113,1,,4,9.57,single_method_pi,TRUE,TRUE,Debit card
3118,1,,1,1.69,single_method_pi,TRUE,TRUE,Cash
3119,1,,1,9,single_method_pi,TRUE,TRUE,Cash
3128,1,,4,13,single_method_pi,TRUE,TRUE,Debit card
3132,1,,1,0.5,single_method_pi,TRUE,TRUE,Cash
3134,1,,4,15.32,single_method_pi,TRUE,TRUE,Debit card
3136,1,,4,45.38,single_method_pi,TRUE,TRUE,Debit card
3137,1,,4,11.78,single_method_pi,TRUE,TRUE,Debit card
3138,1,,4,23.82,single_method_pi,TRUE,TRUE,Debit card
3141,1,,4,69,single_method_pi,TRUE,TRUE,Debit card
3142,1,,4,70,single_method_pi,TRUE,TRUE,Debit card
3145,1,,4,9.19,single_method_pi,TRUE,TRUE,Debit card
3147,1,,7,30,single_method_pi,FALSE,TRUE,Online banking bill payment
3148,1,,4,22.55,single_method_pi,TRUE,TRUE,Debit card
3150,1,,5,10.5,single_method_pi,FALSE,FALSE,Prepaid/gift/EBT card
3153,1,,4,175.26,single_method_pi,TRUE,TRUE,Debit card
3154,1,,3,467.92,single_method_pi,FALSE,FALSE,Credit card
3157,1,,4,19.11,single_method_pi,TRUE,TRUE,Debit card
3158,1,,1,4.11,single_method_pi,TRUE,TRUE,Cash
3160,1,,4,44.47,single_method_pi,TRUE,TRUE,Debit card
3161,1,,4,37.73,single_method_pi,TRUE,TRUE,Debit card
3162,1,,5,9.09,single_method_pi,FALSE,FALSE,Prepaid/gift/EBT card
3166,1,,3,32.49,single_method_pi,FALSE,FALSE,Credit card
3167,1,,4,109.22,single_method_pi,TRUE,TRUE,Debit card
3168,1,,1,14.27,single_method_pi,TRUE,TRUE,Cash
3173,1,,1,15.12,single_method_pi,TRUE,TRUE,Cash
3174,1,,3,365.8,single_method_pi,FALSE,FALSE,Credit card
3175,1,,4,12,single_method_pi,TRUE,TRUE,Debit card
3176,1,,4,54.5,single_method_pi,TRUE,TRUE,Debit card
3177,1,,1,1.75,single_method_pi,TRUE,TRUE,Cash
3181,1,,4,28.43,single_method_pi,TRUE,TRUE,Debit card
3182,1,,3,3.5500000000000003,single_method_pi,FALSE,FALSE,Credit card
3185,1,,3,96.1,single_method_pi,FALSE,FALSE,Credit card
3187,1,,3,3.6,single_method_pi,FALSE,FALSE,Credit card
3188,1,,3,55.02,single_method_pi,FALSE,FALSE,Credit card
3190,1,,3,14.34,single_method_pi,FALSE,FALSE,Credit card
3192,1,,3,1.9,single_method_pi,FALSE,FALSE,Credit card
3193,1,,3,72.86,single_method_pi,FALSE,FALSE,Credit card
3195,1,,3,13.03,single_method_pi,FALSE,FALSE,Credit card
3196,1,,3,36.53,single_method_pi,FALSE,FALSE,Credit card
3197,1,,1,9,single_method_pi,TRUE,TRUE,Cash
3198,1,,3,32.88,single_method_pi,FALSE,FALSE,Credit card
3199,1,,3,25.6,single_method_pi,FALSE,FALSE,Credit card
3201,1,,1,2.06,single_method_pi,TRUE,TRUE,Cash
3202,1,,3,7.77,single_method_pi,FALSE,FALSE,Credit card
3203,1,,3,7.5,single_method_pi,FALSE,FALSE,Credit card
3205,1,,7,15.17,single_method_pi,FALSE,TRUE,Online banking bill payment
3207,1,,6,16.92,single_method_pi,FALSE,TRUE,Bank account number payment
3209,1,,2,1320,single_method_pi,TRUE,TRUE,Check
3213,1,,1,42.42,single_method_pi,TRUE,TRUE,Cash
3214,1,,1,15.25,single_method_pi,TRUE,TRUE,Cash
3215,1,,1,4.41,single_method_pi,TRUE,TRUE,Cash
3217,1,,1,26,single_method_pi,TRUE,TRUE,Cash
3218,1,,8,450,single_method_pi,FALSE,FALSE,Money order
3219,1,,8,450,single_method_pi,FALSE,FALSE,Money order
3224,1,,1,6.45,single_method_pi,TRUE,TRUE,Cash
3225,1,,4,21.13,single_method_pi,TRUE,TRUE,Debit card
3226,1,,1,0.99,single_method_pi,TRUE,TRUE,Cash
3227,1,,1,2.4,single_method_pi,TRUE,TRUE,Cash
3228,1,,1,2.4,single_method_pi,TRUE,TRUE,Cash
3229,1,,1,2.59,single_method_pi,TRUE,TRUE,Cash
3231,1,,3,4.49,single_method_pi,FALSE,FALSE,Credit card
3232,1,,4,34,single_method_pi,TRUE,TRUE,Debit card
3235,1,,4,13.78,single_method_pi,TRUE,TRUE,Debit card
3236,1,,4,6,single_method_pi,TRUE,TRUE,Debit card
3237,1,,4,8.18,single_method_pi,TRUE,TRUE,Debit card
3238,1,,2,134.27,single_method_pi,TRUE,TRUE,Check
3243,1,,1,6,single_method_pi,TRUE,TRUE,Cash
3244,1,,3,32,single_method_pi,FALSE,FALSE,Credit card
3247,1,,1,3.49,single_method_pi,TRUE,TRUE,Cash
3249,1,,1,10,single_method_pi,TRUE,TRUE,Cash
3250,1,,1,11.05,single_method_pi,TRUE,TRUE,Cash
3251,1,,1,3.49,single_method_pi,TRUE,TRUE,Cash
3252,1,,1,8.5,single_method_pi,TRUE,TRUE,Cash
3253,1,,1,20,single_method_pi,TRUE,TRUE,Cash
3255,1,,2,10,single_method_pi,TRUE,TRUE,Check
3256,1,,1,10,single_method_pi,TRUE,TRUE,Cash
3258,1,,1,8.6,single_method_pi,TRUE,TRUE,Cash
3259,1,,3,36.02,single_method_pi,FALSE,FALSE,Credit card
3260,1,,3,4.63,single_method_pi,FALSE,FALSE,Credit card
3266,1,,6,6,single_method_pi,FALSE,TRUE,Bank account number payment
3269,1,,13,1100,single_method_pi,FALSE,FALSE,Other payment method
3271,1,,6,20,single_method_pi,FALSE,TRUE,Bank account number payment
3272,1,,6,13,single_method_pi,FALSE,TRUE,Bank account number payment
3274,1,,3,10,single_method_pi,FALSE,FALSE,Credit card
3275,1,,3,87.75,single_method_pi,FALSE,FALSE,Credit card
3276,1,,3,7.92,single_method_pi,FALSE,FALSE,Credit card
3277,1,,3,11.07,single_method_pi,FALSE,FALSE,Credit card
3278,1,,7,87.75,single_method_pi,FALSE,TRUE,Online banking bill payment
3279,1,,3,10,single_method_pi,FALSE,FALSE,Credit card
3284,1,,3,13.22,single_method_pi,FALSE,FALSE,Credit card
3288,1,,14,2674,single_method_pi,FALSE,FALSE,Deduction from income
3295,1,,7,100,single_method_pi,FALSE,TRUE,Online banking bill payment
3296,1,,1,20,single_method_pi,TRUE,TRUE,Cash
3301,1,,3,19.01,single_method_pi,FALSE,FALSE,Credit card
3303,1,,3,30.14,single_method_pi,FALSE,FALSE,Credit card
3304,1,,3,73.96000000000001,single_method_pi,FALSE,FALSE,Credit card
3308,1,,5,36,single_method_pi,FALSE,FALSE,Prepaid/gift/EBT card
3310,1,,3,2.14,single_method_pi,FALSE,FALSE,Credit card
3311,1,,6,277,single_method_pi,FALSE,TRUE,Bank account number payment
3317,1,,3,20.45,single_method_pi,FALSE,FALSE,Credit card
3320,1,,3,40,single_method_pi,FALSE,FALSE,Credit card
3322,1,,3,40,single_method_pi,FALSE,FALSE,Credit card
3325,1,,6,1478,single_method_pi,FALSE,TRUE,Bank account number payment
3328,1,,1,4,single_method_pi,TRUE,TRUE,Cash
3330,1,,4,49.32,single_method_pi,TRUE,TRUE,Debit card
3331,1,,1,3,single_method_pi,TRUE,TRUE,Cash
3332,1,,4,3,single_method_pi,TRUE,TRUE,Debit card
3334,1,,4,4,single_method_pi,TRUE,TRUE,Debit card
3338,1,,4,127.96,single_method_pi,TRUE,TRUE,Debit card
3339,1,,7,36.35,single_method_pi,FALSE,TRUE,Online banking bill payment
3343,1,,7,78,single_method_pi,FALSE,TRUE,Online banking bill payment
3344,1,,4,62,single_method_pi,TRUE,TRUE,Debit card
3346,1,,4,16.56,single_method_pi,TRUE,TRUE,Debit card
3351,1,,4,58,single_method_pi,TRUE,TRUE,Debit card
3353,1,,4,113.2,single_method_pi,TRUE,TRUE,Debit card
3356,1,,1,6.7700000000000005,single_method_pi,TRUE,TRUE,Cash
3357,1,,4,7.55,single_method_pi,TRUE,TRUE,Debit card
3364,1,,4,2,single_method_pi,TRUE,TRUE,Debit card
3366,1,,1,5.38,single_method_pi,TRUE,TRUE,Cash
3371,1,,4,69.83,single_method_pi,TRUE,TRUE,Debit card
3374,1,,4,8.72,single_method_pi,TRUE,TRUE,Debit card
3376,1,,4,39.95,single_method_pi,TRUE,TRUE,Debit card
3378,1,,1,17.82,single_method_pi,TRUE,TRUE,Cash
3383,1,,10,3.75,single_method_pi,FALSE,FALSE,Mobile payment app
3384,1,,13,3.75,single_method_pi,FALSE,FALSE,Other payment method
3386,1,,1,11.63,single_method_pi,TRUE,TRUE,Cash
3389,1,,4,26.5,single_method_pi,TRUE,TRUE,Debit card
3394,1,,1,13,single_method_pi,TRUE,TRUE,Cash
3395,1,,1,17,single_method_pi,TRUE,TRUE,Cash
3396,1,,4,51.7,single_method_pi,TRUE,TRUE,Debit card
3397,1,,1,6.44,single_method_pi,TRUE,TRUE,Cash
3399,1,,4,56.3,single_method_pi,TRUE,TRUE,Debit card
3400,1,,1,21.58,single_method_pi,TRUE,TRUE,Cash
