cohort_rule,age_rule,income_rule,debt_validity_rule,partial_panel_rule,full_panel_definition,n_households,n_complete_12_month_households,n_partial_panel_households,household_gap,complete_12_month_gap,partial_panel_gap,mean_abs_share_diff,max_abs_share_diff,borrow_share,borrow_and_save_share,save_share,total_count_abs_gap
inferred first interview,age strictly between 25 and 64 at interview 5,income strictly above $200/month at interview 5,valid flags; absent balance record is zero,exclude fifth-only panels,FMLI interviews 2-5,2716,2183,533,-27,19,-46,0.6888123411272821,1.0332185116908263,7.472992130936953,29.560226380754067,62.966781488309174,46
inferred first interview,age strictly between 25 and 64 at interview 5,income strictly above $200/month at interview 5,valid flags; absent balance record is zero,exclude fifth-only panels,consecutive FMLI interviews 2-5,2716,2183,533,-27,19,-46,0.6888123411272821,1.0332185116908263,7.472992130936953,29.560226380754067,62.966781488309174,46
earliest observed public interview,age 25-64 throughout observed panel,income strictly above $200/month at interview 5,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI nonmissing-cost months,2751,2202,549,8,38,-30,1.064889764147314,1.5973346462210358,8.275009325219267,29.32232532100164,62.402665353778964,46
earliest observed public interview,age 25-64 throughout observed panel,income strictly above $200/month at interview 5,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI record months,2751,2202,549,8,38,-30,1.064889764147314,1.5973346462210358,8.275009325219267,29.32232532100164,62.402665353778964,46
earliest observed public interview,age 25-64 throughout observed panel,income strictly above $200/month at interview 5,valid flags plus explicit finance-charge record,retain fifth-only panels,FMLI interviews 2-5,2751,2202,549,8,38,-30,1.064889764147314,1.5973346462210358,8.275009325219267,29.32232532100164,62.402665353778964,46
earliest observed public interview,age 25-64 throughout observed panel,income strictly above $200/month at interview 5,valid flags plus explicit finance-charge record,retain fifth-only panels,consecutive FMLI interviews 2-5,2751,2202,549,8,38,-30,1.064889764147314,1.5973346462210358,8.275009325219267,29.32232532100164,62.402665353778964,46
earliest observed public interview,age 25-64 throughout observed panel,income strictly above $200/month at interview 5,valid flags; absent balance record is zero,retain fifth-only panels,12 MTBI nonmissing-cost months,2751,2202,549,8,38,-30,1.064889764147314,1.5973346462210358,8.275009325219267,29.32232532100164,62.402665353778964,46
earliest observed public interview,age 25-64 throughout observed panel,income strictly above $200/month at interview 5,valid flags; absent balance record is zero,retain fifth-only panels,12 MTBI record months,2751,2202,549,8,38,-30,1.064889764147314,1.5973346462210358,8.275009325219267,29.32232532100164,62.402665353778964,46
earliest observed public interview,age 25-64 throughout observed panel,income strictly above $200/month at interview 5,valid flags; absent balance record is zero,retain fifth-only panels,FMLI interviews 2-5,2751,2202,549,8,38,-30,1.064889764147314,1.5973346462210358,8.275009325219267,29.32232532100164,62.402665353778964,46
earliest observed public interview,age 25-64 throughout observed panel,income strictly above $200/month at interview 5,valid flags; absent balance record is zero,retain fifth-only panels,consecutive FMLI interviews 2-5,2751,2202,549,8,38,-30,1.064889764147314,1.5973346462210358,8.275009325219267,29.32232532100164,62.402665353778964,46
earliest observed public interview,age 25-64 throughout observed panel,INCLASS complete at interview 5,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI nonmissing-cost months,2752,2202,550,9,38,-29,1.0548309514380314,1.5822464271571093,8.271688474030487,29.310557953126498,62.41775357284289,47
earliest observed public interview,age 25-64 throughout observed panel,INCLASS complete at interview 5,valid flags plus explicit finance-charge record,retain fifth-only panels,12 MTBI record months,2752,2202,550,9,38,-29,1.0548309514380314,1.5822464271571093,8.271688474030487,29.310557953126498,62.41775357284289,47
