iteration,rho,sigma_theta,real_money_supply,tau,model_correlation,correlation_gap,model_log_c_variance,log_variance_gap,money_demand,money_market_gap,stationarity_gap,goods_gap,rho_change,sigma_change,money_supply_change,vfi_iterations,distribution_iterations,converged
1,0.652,0.455755263348858,0.730602859713342,0.0143255462688891,0.563323173597223,-0.025181924054292,0.038939118238207,-0.0361841585789081,0.730602859715639,2.29727348255437e-12,2.29771757176422e-12,-2.29727348255437e-12,0,0.25,0.191186219713342,86,1,0
2,0.672,0.580755263348858,0.92766459916169,0.0181895019443469,0.582640748306101,-0.00586434934541369,0.0757689026526784,0.000645625835563227,0.927664599170064,8.37330205172293e-12,8.37330205172293e-12,-8.37352409632786e-12,0.02,0.125,0.197061739448348,59,1,0
3,0.677,0.580755263348858,0.932136193159991,0.018277180258039,0.590192198956272,0.00168710130475647,0.0768214343333548,0.00169815751623965,0.932136193193034,3.30425686811964e-11,6.09690076203151e-12,-6.62514487714816e-12,0.005,0,0.00447159399830099,198,4,0
4,0.677,0.580755263348858,0.932136193159991,0.018277180258039,0.590192198985048,0.00168710133353323,0.0768214343314896,0.00169815751437451,0.932136193149037,-1.0954459561674e-11,1.57973634173914e-11,-1.52733381497683e-11,0,0,0,1,1,0
5,0.67575,0.580755263348858,0.93154298976437,0.0182655488189092,0.588361135387248,-0.000143962264267161,0.0766157658764519,0.00149248905933677,0.931542989750456,-1.39134259669049e-11,-1.39134259669049e-11,1.39130928999975e-11,0.00124999999999997,0,0.000593203395621744,34,1,0
6,0.67575,0.576849013348858,0.921843596868304,0.0180753646444765,0.586844895112741,-0.00166020253877452,0.0747674021651704,-0.00035587465194474,0.921843596875357,7.05380198695593e-12,7.05335789774608e-12,-7.05346892004854e-12,0,0.00390625,0.00969939289606592,1,1,0
7,0.677,0.576849013348858,0.923432299889728,0.0181065156841123,0.588636992545872,0.00013189489435661,0.0750822475975862,-4.10292195289624e-05,0.923432299897682,7.95408183762447e-12,7.95397081532201e-12,-7.95408183762447e-12,0.00124999999999997,0,0.00158870302142433,164,1,0
8,0.677,0.576849013348858,0.923432299889728,0.0181065156841123,0.588636992547966,0.000131894896450935,0.0750822475974494,-4.10292196657558e-05,0.923432299894578,4.84978723847007e-12,8.64230909058961e-12,-8.56736903642741e-12,0,0,0,1,1,1
