measure,n_rows,n_households,n_positive,n_zero,n_negative,n_positive_complete_controls,mean_liquid,p50_liquid,p95_liquid
benchmark,64309,12722,64242,67,0,64242,1896.1817465632755,1518.732905284651,4415.921279328028
excluding_food,64309,12722,64067,242,0,64067,1600.4755176075114,1271.5370121950368,3857.8795537737215
excluding_food_property_taxes,64309,12722,64019,290,0,64019,1415.9659523107389,1119.0999715981736,3395.8406838762257
