group,group_weight,current_rate,zero_rate_share,zero_rate_no_credit_cards_share,zero_rate_has_credit_card_share,zero_rate_no_visa_mc_discover_share,zero_rate_positive_balance_share,zero_rate_no_primary_store_balance_share,zero_rate_always_pays_total_balance_share
Borrow,3279593.6739999996,16.03732759300963,5.2274571499249705,0,5.2274571499249705,5.2274571499249705,5.2274571499249705,0,0
Borrow and save,17828104.496000014,13.68256371791462,1.3741954679195847,0,1.3741954679195847,1.3741954679195847,1.3741954679195847,0,0
Save,45523858.83999998,9.282843827770275,35.33974632190909,31.919928846699648,3.419817475209447,3.419817475209447,1.4132049751343099,33.926541346774776,1.0385602891479317
