characteristic,candidate,variable,group,paper,replication,diff
Marital status: married,"raw X8023 == 1, nonzero J8023 dropped",married_current_reported_only,Borrow and save,62,58.92411671242074,-3.075883287579259
Marital status: married,"raw X8023 == 1, nonzero J8023 dropped",married_current_reported_only,Save,58,53.42998784059455,-4.570012159405451
Marital status: married,"raw X8023 == 1, nonzero J8023 dropped",married_current_reported_only,Population,59,54.5533865877274,-4.4466134122725975
Marital status: married,"raw X7372 == 1, nonzero J7372 dropped",married_legal_reported_only,Borrow,48,46.36217480397543,-1.637825196024572
Marital status: married,"raw X7372 == 1, nonzero J7372 dropped",married_legal_reported_only,Borrow and save,62,59.0666007054349,-2.933399294565099
Marital status: married,"raw X7372 == 1, nonzero J7372 dropped",married_legal_reported_only,Save,58,53.69318904161692,-4.306810958383082
Marital status: married,"raw X7372 == 1, nonzero J7372 dropped",married_legal_reported_only,Population,59,54.77008113216235,-4.229918867837647
Marital status: married,raw X7020 == 2 spouse/partner in PEU,spouse_partner_in_peu,Borrow,48,52.1777039505291,4.1777039505291
Marital status: married,raw X7020 == 2 spouse/partner in PEU,spouse_partner_in_peu,Borrow and save,62,66.34551520972866,4.34551520972866
Marital status: married,raw X7020 == 2 spouse/partner in PEU,spouse_partner_in_peu,Save,58,60.56600137722425,2.5660013772242465
Marital status: married,raw X7020 == 2 spouse/partner in PEU,spouse_partner_in_peu,Population,59,61.69951187517666,2.699511875176661
Marital status: married,raw X7019 spouse/partner in PEU codes,spouse_partner_in_peu_x7019,Borrow,48,52.1777039505291,4.1777039505291
Marital status: married,raw X7019 spouse/partner in PEU codes,spouse_partner_in_peu_x7019,Borrow and save,62,66.34551520972866,4.34551520972866
Marital status: married,raw X7019 spouse/partner in PEU codes,spouse_partner_in_peu_x7019,Save,58,60.56600137722425,2.5660013772242465
Marital status: married,raw X7019 spouse/partner in PEU codes,spouse_partner_in_peu_x7019,Population,59,61.69951187517666,2.699511875176661
Marital status: married,raw X7372 == 1 & X7020 == 2,married_legal_and_peu,Borrow,48,46.36217480397543,-1.637825196024572
Marital status: married,raw X7372 == 1 & X7020 == 2,married_legal_and_peu,Borrow and save,62,58.90456454502041,-3.0954354549795866
Marital status: married,raw X7372 == 1 & X7020 == 2,married_legal_and_peu,Save,58,53.207774303871005,-4.792225696128995
Marital status: married,raw X7372 == 1 & X7020 == 2,married_legal_and_peu,Population,59,54.395082397009716,-4.604917602990284
Marital status: married,raw X8023 == 1 & X7020 == 2,married_current_and_peu,Borrow,48,46.36217480397543,-1.637825196024572
Marital status: married,raw X8023 == 1 & X7020 == 2,married_current_and_peu,Borrow and save,62,58.684718604534716,-3.315281395465284
Marital status: married,raw X8023 == 1 & X7020 == 2,married_current_and_peu,Save,58,53.030478516438606,-4.969521483561394
Marital status: married,raw X8023 == 1 & X7020 == 2,married_current_and_peu,Population,59,54.2151282530866,-4.784871746913403
Marital status: married,raw X8023 == 1 | X7020 == 2,married_current_or_peu,Borrow,48,52.1777039505291,4.1777039505291
Marital status: married,raw X8023 == 1 | X7020 == 2,married_current_or_peu,Borrow and save,62,66.50755137014318,4.507551370143176
Marital status: married,raw X8023 == 1 | X7020 == 2,married_current_or_peu,Save,58,61.00836738733724,3.0083673873372376
Marital status: married,raw X8023 == 1 | X7020 == 2,married_current_or_peu,Population,59,62.045098957834014,3.045098957834014
Marital status: married,raw X7372 == 1 | X7020 == 2,married_legal_or_peu,Borrow,48,52.1777039505291,4.1777039505291
Marital status: married,raw X7372 == 1 | X7020 == 2,married_legal_or_peu,Borrow and save,62,66.50755137014318,4.507551370143176
Marital status: married,raw X7372 == 1 | X7020 == 2,married_legal_or_peu,Save,58,61.051416114970095,3.0514161149700954
Marital status: married,raw X7372 == 1 | X7020 == 2,married_legal_or_peu,Population,59,62.07451061032933,3.0745106103293267
Marital status: married,raw X7372 == 1 | X8023 == 2,married_legal_or_current_partner,Borrow,48,53.61671617860305,5.616716178603049
