sample_window,qyears,truncation_rule,n_households,n_cuids,n_complete_12_month_households,n_partial_panel_households,weighted_population,statistic,group,paper,share_pct,diff,n_households_in_group
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,require valid liquid assets in interviews 2-5,2242,0,2242,0,7776165.268499997,Puzzle size (%),Borrow and save,29,30.33816733945363,1.33816733945363,719
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,require valid liquid assets in interviews 2-5,2242,0,2242,0,7776165.268499997,Puzzle size (%),Save,64,62.07741879283843,-1.9225812071615707,1353
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,require fifth balance detail row,1528,0,1213,315,5205665.577749996,Puzzle size (%),Borrow,7,15.306282954587951,8.306282954587951,222
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,require fifth balance detail row,1528,0,1213,315,5205665.577749996,Puzzle size (%),Borrow and save,29,55.06024220036154,26.060242200361543,857
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,require fifth balance detail row,1528,0,1213,315,5205665.577749996,Puzzle size (%),Save,64,29.633474845050547,-34.36652515494946,449
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,require second or fifth balance detail row,1793,0,1457,336,6163768.104249995,Puzzle size (%),Borrow,7,13.296620531276874,6.296620531276874,228
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,require second or fifth balance detail row,1793,0,1457,336,6163768.104249995,Puzzle size (%),Borrow and save,29,47.362741745379495,18.362741745379495,875
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,require second or fifth balance detail row,1793,0,1457,336,6163768.104249995,Puzzle size (%),Save,64,39.34063772334371,-24.65936227665629,690
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,exclude fifth-only panels,2740,0,2242,498,9538438.10250002,Puzzle size (%),Borrow,7,7.97560345126744,0.9756034512674399,211
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,exclude fifth-only panels,2740,0,2242,498,9538438.10250002,Puzzle size (%),Borrow and save,29,29.236891195205953,0.2368911952059527,843
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,exclude fifth-only panels,2740,0,2242,498,9538438.10250002,Puzzle size (%),Save,64,62.78750535352623,-1.2124946464737718,1686
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,exclude topcoded assets and fifth-only panels,2646,0,2151,495,9226209.22400001,Puzzle size (%),Borrow,7,8.245509938372921,1.245509938372921,211
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,exclude topcoded assets and fifth-only panels,2646,0,2151,495,9226209.22400001,Puzzle size (%),Borrow and save,29,29.49908791001849,0.4990879100184884,822
rolling_2000Q4_to_2001Q3,20004;20011;20012;20013,exclude topcoded assets and fifth-only panels,2646,0,2151,495,9226209.22400001,Puzzle size (%),Save,64,62.255402151608315,-1.7445978483916846,1613
rolling_2001Q1_to_2001Q4,20011;20012;20013;20014,current valid flags,2965,0,2251,714,10401203.195250016,Puzzle size (%),Borrow,7,8.453102780469871,1.4531027804698713,241
rolling_2001Q1_to_2001Q4,20011;20012;20013;20014,current valid flags,2965,0,2251,714,10401203.195250016,Puzzle size (%),Borrow and save,29,28.835823764309282,-0.16417623569071793,902
rolling_2001Q1_to_2001Q4,20011;20012;20013;20014,current valid flags,2965,0,2251,714,10401203.195250016,Puzzle size (%),Save,64,62.711073455220635,-1.2889265447793647,1822
rolling_2001Q1_to_2001Q4,20011;20012;20013;20014,income complete via INC_RANK,2965,0,2251,714,10401203.195250016,Puzzle size (%),Borrow,7,8.453102780469871,1.4531027804698713,241
rolling_2001Q1_to_2001Q4,20011;20012;20013;20014,income complete via INC_RANK,2965,0,2251,714,10401203.195250016,Puzzle size (%),Borrow and save,29,28.835823764309282,-0.16417623569071793,902
rolling_2001Q1_to_2001Q4,20011;20012;20013;20014,income complete via INC_RANK,2965,0,2251,714,10401203.195250016,Puzzle size (%),Save,64,62.711073455220635,-1.2889265447793647,1822
