code,n_implicate_rows,weighted_population,broad_white_collar_weighted_population,weighted_share_pct,broad_white_collar_weighted_share_pct
6,12440,56797506.117999874,39072142.59999992,85.24115099017702,98.2015930564196
1,1700,8537724.031999998,0,12.81333412442798,0
2053,130,667801.0560000001,437674.9259999999,1.002229402953586,1.1000260572874405
14,45,232577.74800000008,0,0.34905044762063037,0
5,40,223121.678,179781.808,0.3348588686986776,0.4518528745378657
2050,15,88091.782,56387.63,0.1322072992933055,0.14172130643984618
2098,15,60990.824000000015,17956.392,0.09153444214255219,0.04513052478329028
0,5,23743.771999999997,23743.771999999997,0.03563442468624378,0.05967618053196844
