variant,mean_abs_diff,max_abs_diff,rate_Borrow,rate_Borrow and save,rate_Save
Drop above 23.5% plus narrow zero-missing rule,0.32813674872480253,0.46053050644422733,14.998123231738214,13.374243492008032,9.339469493555773
Drop above 22.5% plus narrow zero-missing rule,0.36776474266076775,0.5335631301284511,14.74970809005901,13.180560812087139,9.26643686987155
Cap at 20% plus narrow zero-missing rule,0.38687006894104314,0.4256957463539983,15.202264691903412,13.36735023143428,9.374304253646002
Drop above 23.5% plus SCF no-bank-card inapplicable target missing,0.5258426713316476,1.120215742556919,15.92021574255692,13.565359437742085,9.47732829081989
"Treat X7132 == 0, has card, no primary/store balance as missing",0.5272783579587556,1.2373275930096277,16.03732759300963,13.68256371791462,9.47292880121874
Current: X7132 <= 0 as 0,0.5906400157749108,1.2373275930096277,16.03732759300963,13.68256371791462,9.282843827770275
Drop above 23.5% plus original missing APR target missing,0.7490218056542487,1.440843054145681,15.352084728081817,13.44586236526475,8.35915694585432
SCF flags: treat no-bank-card inapplicable APR targets as missing,0.8278603668025066,2.1219133630083213,16.921913363008322,13.873208723447254,9.611540986048057
Treat X7132 == 0 and has credit card as missing,0.8278603668025066,2.1219133630083213,16.921913363008322,13.873208723447254,9.611540986048057
SCF flags: treat original missing APR targets (J>=997) as missing,0.9487060045152648,1.5255621084961852,16.325562108496186,13.722514422392926,8.501958517343319
SCF flags: treat no-card inapplicable APR targets as missing,1.6966497121282025,3.8351852612896007,16.03732759300963,13.68256371791462,13.635185261289601
Treat X7132 == 0 and no credit cards as missing,1.6966497121282025,3.8351852612896007,16.03732759300963,13.68256371791462,13.635185261289601
Treat X7132 == 0 and no primary/store balance as missing,1.8346805934323007,4.249277905201895,16.03732759300963,13.68256371791462,14.049277905201896
SCF flags: treat all inapplicable APR targets (J in 1/3/14) as missing,2.2838196463507585,4.556336852596699,16.921913363008322,13.873208723447254,14.3563368525967
Treat all X7132 == 0 as missing,2.2838196463507585,4.556336852596699,16.921913363008322,13.873208723447254,14.3563368525967
SCF flags: keep only nonmissing-origin non-inapplicable APR targets,2.4099260538057528,4.45427289559499,17.34971707415569,13.925788191666577,14.25427289559499
SCF flags: keep only reported APR targets (J==0),2.4519224592640376,4.511280729594441,17.34971707415569,13.99476957404198,14.311280729594442
