characteristic,candidate,variable,group,paper,replication,diff
Head works full-time,main + other job hours >= 35,head_full_time_total_hours35,Borrow and save,85,89.0786679064123,4.078667906412306
Head works full-time,main + other job hours >= 35,head_full_time_total_hours35,Save,80,76.6448141503816,-3.355185849618394
Head works full-time,main + other job hours >= 35,head_full_time_total_hours35,Population,81,79.83909837798925,-1.1609016220107549
Head works full-time,raw X4511 == 1 or total hours >= 35,head_full_time_self_report_or_total_hours35,Borrow,76,75.03899996850643,-0.9610000314935689
Head works full-time,raw X4511 == 1 or total hours >= 35,head_full_time_self_report_or_total_hours35,Borrow and save,85,91.04945915950844,6.049459159508444
Head works full-time,raw X4511 == 1 or total hours >= 35,head_full_time_self_report_or_total_hours35,Save,80,79.25355779879226,-0.7464422012077421
Head works full-time,raw X4511 == 1 or total hours >= 35,head_full_time_self_report_or_total_hours35,Population,81,82.20225859014477,1.2022585901447655
Head works full-time,raw X4511 == 1 and total hours >= 35,head_full_time_self_report_and_total_hours35,Borrow,76,73.65577641981996,-2.344223580180042
Head works full-time,raw X4511 == 1 and total hours >= 35,head_full_time_self_report_and_total_hours35,Borrow and save,85,87.82874324925092,2.8287432492509197
Head works full-time,raw X4511 == 1 and total hours >= 35,head_full_time_self_report_and_total_hours35,Save,80,75.35285982360291,-4.647140176397087
Head works full-time,raw X4511 == 1 and total hours >= 35,head_full_time_self_report_and_total_hours35,Population,81,78.60740795557149,-2.392592044428511
Head works full-time,annual total hours >= 1750,head_full_time_annual_total1750,Borrow,76,67.99706084565399,-8.00293915434601
Head works full-time,annual total hours >= 1750,head_full_time_annual_total1750,Borrow and save,85,88.24008699034495,3.240086990344949
Head works full-time,annual total hours >= 1750,head_full_time_annual_total1750,Save,80,73.8375206463495,-6.162479353650497
Head works full-time,annual total hours >= 1750,head_full_time_annual_total1750,Population,81,77.40364056667552,-3.59635943332448
Head works full-time,summary LF == 1,head_full_time_summary_lf,Borrow,76,88.14324447925492,12.143244479254918
Head works full-time,summary LF == 1,head_full_time_summary_lf,Borrow and save,85,96.08284999587765,11.082849995877652
Head works full-time,summary LF == 1,head_full_time_summary_lf,Save,80,87.54983911640666,7.549839116406659
Head works full-time,summary LF == 1,head_full_time_summary_lf,Population,81,89.86215995975277,8.862159959752773
Head works full-time,summary OCCAT1 == 1,head_full_time_summary_occat1_one,Borrow,76,71.20269619107698,-4.797303808923019
Head works full-time,summary OCCAT1 == 1,head_full_time_summary_occat1_one,Borrow and save,85,83.3166849192109,-1.6833150807891002
Head works full-time,summary OCCAT1 == 1,head_full_time_summary_occat1_one,Save,80,70.6495578440293,-9.350442155970697
Head works full-time,summary OCCAT1 == 1,head_full_time_summary_occat1_one,Population,81,74.06603112485178,-6.933968875148224
Head works full-time,summary OCCAT1 in 1:2,head_full_time_summary_occat1_broad,Borrow,76,81.9852006459261,5.985200645926099
Head works full-time,summary OCCAT1 in 1:2,head_full_time_summary_occat1_broad,Borrow and save,85,94.22546608793455,9.22546608793455
Head works full-time,summary OCCAT1 in 1:2,head_full_time_summary_occat1_broad,Save,80,84.29395090356994,4.293950903569936
Head works full-time,summary OCCAT1 in 1:2,head_full_time_summary_occat1_broad,Population,81,86.83761542795143,5.837615427951434
Head works full-time,summary LF == 1 & OCCAT1 in 1:2,head_full_time_summary_lf_occat1_broad,Borrow,76,81.9852006459261,5.985200645926099
Head works full-time,summary LF == 1 & OCCAT1 in 1:2,head_full_time_summary_lf_occat1_broad,Borrow and save,85,94.22546608793455,9.22546608793455
Head works full-time,summary LF == 1 & OCCAT1 in 1:2,head_full_time_summary_lf_occat1_broad,Save,80,84.29395090356994,4.293950903569936
Head works full-time,summary LF == 1 & OCCAT1 in 1:2,head_full_time_summary_lf_occat1_broad,Population,81,86.83761542795143,5.837615427951434
Head white-collar/prof.,primary fork: summary OCCAT2 in 1:2,head_white_collar_prof,Borrow,48,49.98832388893062,1.9883238889306227
Head white-collar/prof.,primary fork: summary OCCAT2 in 1:2,head_white_collar_prof,Borrow and save,61,66.92114842986726,5.921148429867259
Head white-collar/prof.,primary fork: summary OCCAT2 in 1:2,head_white_collar_prof,Save,58,57.59068237195153,-0.40931762804846983
Head white-collar/prof.,primary fork: summary OCCAT2 in 1:2,head_white_collar_prof,Population,58,59.71297822446013,1.7129782244601301
Head white-collar/prof.,public X7401 == 1: managerial/professional,head_occ_managerial_professional,Borrow,48,16.44349573775889,-31.55650426224111
Head white-collar/prof.,public X7401 == 1: managerial/professional,head_occ_managerial_professional,Borrow and save,61,35.26562976681355,-25.734370233186453
Head white-collar/prof.,public X7401 == 1: managerial/professional,head_occ_managerial_professional,Save,58,32.49508353409172,-25.50491646590828
Head white-collar/prof.,public X7401 == 1: managerial/professional,head_occ_managerial_professional,Population,58,32.44632138305788,-25.553678616942122
Head white-collar/prof.,public X7401 == 2: technical/sales/admin,head_occ_technical_sales_admin,Borrow,48,22.47330258754489,-25.52669741245511
Head white-collar/prof.,public X7401 == 2: technical/sales/admin,head_occ_technical_sales_admin,Borrow and save,61,21.23567222106771,-39.76432777893229
Head white-collar/prof.,public X7401 == 2: technical/sales/admin,head_occ_technical_sales_admin,Save,58,16.12827541664522,-41.871724583354776
Head white-collar/prof.,public X7401 == 2: technical/sales/admin,head_occ_technical_sales_admin,Population,58,17.80712429730454,-40.19287570269546
Head white-collar/prof.,public X7401 == 3: service/protective/military,head_occ_service_protective_military,Borrow,48,11.07152556362688,-36.92847443637312
Head white-collar/prof.,public X7401 == 3: service/protective/military,head_occ_service_protective_military,Borrow and save,61,10.419846441985984,-50.58015355801402
Head white-collar/prof.,public X7401 == 3: service/protective/military,head_occ_service_protective_military,Save,58,8.967323421214614,-49.032676578785384
Head white-collar/prof.,public X7401 == 3: service/protective/military,head_occ_service_protective_military,Population,58,9.459532544097767,-48.54046745590223
Head white-collar/prof.,raw X7401 in 1:2,head_white_collar_prof_raw,Borrow,48,38.91679832530378,-9.08320167469622
