table,source,statistic,group,paper,replication,diff
Table 1,SCF 2001,Puzzle size (%),Borrow,5,4.921982647813267,-0.07801735218673311
Table 1,SCF 2001,Puzzle size (%),Borrow and save,27,26.756247784100882,-0.24375221589911789
Table 1,SCF 2001,Puzzle size (%),Save,68,68.321769568086,0.32176956808599755
Table 1,SCF 2001,Credit-card interest rate (%),Borrow,14.8,16.03732759300963,1.2373275930096277
Table 1,SCF 2001,Credit-card interest rate (%),Borrow and save,13.7,13.68256371791462,-0.017436282085379062
Table 1,SCF 2001,Credit-card interest rate (%),Save,9.8,9.282843827770275,-0.5171561722297255
