sample_window,qyears,variant,debt_variable,n_households,n_complete_12_month_households,statistic,group,paper,share_pct,diff,n_households_in_group
calendar_2001_5q,20011;20012;20013;20014;20021,"finance charges >= 14% of $500, average balance 2/5",cc_debt_finance_ge_70_average_balance,3776,2853,Puzzle size (%),Save,64,71.97399588465724,7.973995884657242,2659
calendar_2001_5q,20011;20012;20013;20014;20021,finance charges / 0.14 implied balance,cc_debt_implied_from_finance_charges,3776,2853,Puzzle size (%),Borrow,7,7.081647291513075,0.08164729151307526,264
calendar_2001_5q,20011;20012;20013;20014;20021,finance charges / 0.14 implied balance,cc_debt_implied_from_finance_charges,3776,2853,Puzzle size (%),Borrow and save,29,23.74408455047565,-5.255915449524348,960
calendar_2001_5q,20011;20012;20013;20014;20021,finance charges / 0.14 implied balance,cc_debt_implied_from_finance_charges,3776,2853,Puzzle size (%),Save,64,69.17426815801105,5.174268158011046,2552
calendar_2001_5q,20011;20012;20013;20014;20021,implied balance capped at average balance 2/5,cc_debt_implied_capped_at_average_balance,3776,2853,Puzzle size (%),Borrow,7,5.934530718930932,-1.0654692810690678,224
calendar_2001_5q,20011;20012;20013;20014;20021,implied balance capped at average balance 2/5,cc_debt_implied_capped_at_average_balance,3776,2853,Puzzle size (%),Borrow and save,29,21.53771602352879,-7.462283976471209,873
calendar_2001_5q,20011;20012;20013;20014;20021,implied balance capped at average balance 2/5,cc_debt_implied_capped_at_average_balance,3776,2853,Puzzle size (%),Save,64,72.52775325754011,8.527753257540112,2679
calendar_2001_5q,20011;20012;20013;20014;20021,finance charges >= 14% of average balance 2/5,cc_debt_apr14_average_balance,3776,2853,Puzzle size (%),Borrow,7,2.572392360283524,-4.427607639716475,96
calendar_2001_5q,20011;20012;20013;20014;20021,finance charges >= 14% of average balance 2/5,cc_debt_apr14_average_balance,3776,2853,Puzzle size (%),Borrow and save,29,8.392229159995662,-20.60777084000434,346
calendar_2001_5q,20011;20012;20013;20014;20021,finance charges >= 14% of average balance 2/5,cc_debt_apr14_average_balance,3776,2853,Puzzle size (%),Save,64,89.03537847972073,25.035378479720734,3334
calendar_2001_5q,20011;20012;20013;20014;20021,fifth-interview balance only,cc_balance_fifth,3776,2853,Puzzle size (%),Borrow,7,8.828591426226442,1.828591426226442,327
calendar_2001_5q,20011;20012;20013;20014;20021,fifth-interview balance only,cc_balance_fifth,3776,2853,Puzzle size (%),Borrow and save,29,31.79124700751231,2.791247007512311,1256
calendar_2001_5q,20011;20012;20013;20014;20021,fifth-interview balance only,cc_balance_fifth,3776,2853,Puzzle size (%),Save,64,59.380161566261194,-4.619838433738806,2193
calendar_2001_5q,20011;20012;20013;20014;20021,average second/fifth balance only,cc_balance_average_2_5,3776,2853,Puzzle size (%),Borrow,7,11.033775282567971,4.033775282567971,408
calendar_2001_5q,20011;20012;20013;20014;20021,average second/fifth balance only,cc_balance_average_2_5,3776,2853,Puzzle size (%),Borrow and save,29,37.67050966290414,8.670509662904138,1489
calendar_2001_5q,20011;20012;20013;20014;20021,average second/fifth balance only,cc_balance_average_2_5,3776,2853,Puzzle size (%),Save,64,51.29571505452782,-12.704284945472182,1879
collection_2002_4q,20021;20022;20023;20024,"primary: finance charges > 0, average balance 2/5",cc_debt_finance_positive_average_balance,3023,2250,Puzzle size (%),Borrow,7,7.1181897792009226,0.11818977920092255,217
collection_2002_4q,20021;20022;20023;20024,"primary: finance charges > 0, average balance 2/5",cc_debt_finance_positive_average_balance,3023,2250,Puzzle size (%),Borrow and save,29,28.283184759610418,-0.7168152403895824,895
collection_2002_4q,20021;20022;20023;20024,"primary: finance charges > 0, average balance 2/5",cc_debt_finance_positive_average_balance,3023,2250,Puzzle size (%),Save,64,64.59862546118855,0.5986254611885471,1911
collection_2002_4q,20021;20022;20023;20024,"finance charges > 0, fifth-interview balance",cc_debt_finance_positive_fifth_balance,3023,2250,Puzzle size (%),Borrow,7,6.600508072100073,-0.39949192789992694,201
collection_2002_4q,20021;20022;20023;20024,"finance charges > 0, fifth-interview balance",cc_debt_finance_positive_fifth_balance,3023,2250,Puzzle size (%),Borrow and save,29,25.753299088485644,-3.246700911514356,815
collection_2002_4q,20021;20022;20023;20024,"finance charges > 0, fifth-interview balance",cc_debt_finance_positive_fifth_balance,3023,2250,Puzzle size (%),Save,64,67.64619283941416,3.646192839414155,2007
