head_occupation_public,summary_occat2,weighted_population,n_implicate_rows,weighted_share_pct
0,4,8770301.779999994,1745,13.162384572048575
1,1,21619489.13,6323,32.44632138305782
2,2,11865164.178000018,2256,17.807124297304508
3,2,6303033.8199999975,1049,9.45953254409775
4,3,8563455.570000017,1380,12.851951769211725
5,3,8353669.0739999935,1371,12.537106213421188
6,3,1156443.4579999994,266,1.7355792208584306
