sample_status,n_rows,n_households,rows_per_household,weighted_population,age_mean,income_mean,target_households,household_gap_vs_target
Dropped,7820,1564,5,39864251.94199994,58.47022549253595,50104.08705511814,NA,NA
Kept,14390,2878,5,66631557.0099999,43.292434147007455,77434.81839834929,2878,0
