group,n_implicate_rows,n_households_distinct,weighted_population,share_pct,cc_rate_pct
Borrow,541,110,3279593.6739999996,4.921653657099376,16.03732759300963
Borrow and save,3073,615,17828104.496000014,26.754459367178395,13.68256371791462
Save,10777,2157,45528312.863999985,68.32388697572239,9.281935689370314
