table,source,statistic,group,paper,replication,diff
Table 1,SCF 2001,Puzzle size (%),Borrow,5,4.921653657099376,-0.07834634290062414
Table 1,SCF 2001,Puzzle size (%),Borrow and save,27,26.754459367178395,-0.245540632821605
Table 1,SCF 2001,Puzzle size (%),Save,68,68.32388697572239,0.3238869757223881
Table 1,SCF 2001,Credit-card interest rate (%),Borrow,14.8,16.03732759300963,1.2373275930096277
Table 1,SCF 2001,Credit-card interest rate (%),Borrow and save,13.7,13.68256371791462,-0.017436282085379062
Table 1,SCF 2001,Credit-card interest rate (%),Save,9.8,9.281935689370314,-0.5180643106296863
