characteristic,Borrow,Borrow and save,Save,Share in population
Race: white,0.7062104377019234,0.7975257159385691,0.7416344043949594,0.7548443776794387
Marital status: married,0.5361671617860305,0.6651628303312143,0.612540641013989,0.6228605851395101
Have dependent children,0.4254138038686803,0.43825917061194225,0.3710623201537138,0.39171546599153
Head works full-time,0.7474295207461724,0.8979953450234706,0.7795397650692092,0.8096515600621982
Head white-collar/prof.,0.49988323888930625,0.6692114842986726,0.5758504828921652,0.5970898694355967
Education: less than HS,0.1371279684935751,0.04181296223427742,0.14889989436354464,0.11966999119937181
HS/some college,0.7321204687748761,0.6374415416148003,0.5261550004621767,0.5660660198995705
College degree or more,0.13075156273154828,0.320745496150922,0.3249451051742799,0.3142639889010617
