source,group,share_pct,n_households,n_complete_12_month_households,weighted_population
CEX,Borrow,8.629474733845203,247,181,897569.2017500001
CEX,Borrow and save,29.13397508313134,913,736,3030283.94725
CEX,Save,62.236550183023276,1805,1334,6473350.046249996
