sample_status,n_rows,n_households,rows_per_household,weighted_population,age_mean,income_mean,target_households,household_gap_vs_target
00 parsed SCF public sample,22210,4442,5,106495808.95200083,48.9738905730901,67204.18894215328,2878,1564
01 age 25-64,16733,3349,4.996416840848014,78016435.70600003,43.59134880321705,76488.7871614244,2878,471
02 + income >= $200/month,16568,3316,4.996381182147165,77297461.39200002,43.56126335947811,77250.7296036893,2878,438
03 + complete income reporter candidate,16405,3283,4.99695400548279,76521016.88799998,43.50900640433222,77323.28318023286,2878,405
04 + valid income/asset/cc-debt info,14391,2879,4.998610628690518,66636011.0339999,43.293283534634554,77429.94335516258,2878,1
