sample_status,n_rows,n_households,n_complete_12_month_households,weighted_population,age_mean,income_mean,target_households,household_gap_vs_target,target_complete_12_month_households,complete_12_month_gap_vs_target
Dropped,4744,4744,3276,16770318.991499925,51.775327853056545,29222.46743510729,NA,NA,NA,NA
Kept,2965,2965,2251,10401203.195250016,43.032036019222346,53527.8778840011,2743,222,2164,87
