variant,mean_abs_diff,max_abs_diff,rate_Borrow,rate_Borrow and save,rate_Save
X7132: drop above 22.5%,0.4308962183907739,0.7229575573184697,14.74970809005901,13.180560812087139,9.077042442681531
X7132: cap at 20%,0.44987161712071594,0.6147003908930166,15.202264691903412,13.36735023143428,9.185299609106984
X7132: <=0 as 0,0.5909427285748977,1.2373275930096277,16.03732759300963,13.68256371791462,9.281935689370314
X7132: reported/nonmissing-origin J-codes only,0.9490225942360055,1.5255621084961852,16.325562108496186,13.722514422392926,8.501008748181096
"X7132: positive rates, balance-weighted by raw card balance",1.5024221042322676,2.1204240366014098,16.803573305587122,14.083268970508271,11.92042403660141
"X7132: 0 inapplicable as NA, -1 no-interest as 0",2.2838196463507585,4.556336852596699,16.921913363008322,13.873208723447254,14.3563368525967
X7132: positive rates only,2.3262738130730014,4.615661692206354,16.921913363008322,13.941246384004328,14.415661692206355
X7132: reported J-code only,2.4519224592640376,4.511280729594441,17.34971707415569,13.99476957404198,14.311280729594442
