group,dependent_children_main,summary_famstruct4,famstruct4,roster_under18,roster_under16
Borrow,42.54138038686803,42.54138038686803,42.54138038686803,59.15642457114949,54.4853813497141
Borrow and save,43.825917061194225,43.825917061194225,43.825917061194225,46.5400837529396,41.11214251433447
Save,37.10623201537138,37.10623201537138,37.10623201537138,44.185476646350274,41.25736712034554
