QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TELBSNZ,TELBSNZ_,TELRESD,TELRESD_,TELCELL,TELCELL_,TINTNET,TINTNET_,TCABLE,TCABLE_,BILPERD,BILPERD_,QADINE1X,QADI_E1X,QADINE2X,QADI_E2X,QADINE3X,QADI_E3X,QADCAB1X,QADC_B1X,QADCAB2X,QADC_B2X,QADCAB3X,QADC_B3X,TELRES1X,TELR_S1X,TELRES2X,TELR_S2X,TELRES3X,TELR_S3X,TELCEL1X,TELC_L1X,TELCEL2X,TELC_L2X,TELCEL3X,TELC_L3X,TELBLPRS,TELB_PRS,TPHONE,TPHONE_
20181,03778742,34,0,1,,A,,A,,A,1,D,2,D,,A,169,D,169,D,169,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03778752,12,0,1,,A,1,D,,A,1,D,1,D,,A,54,E,54,E,56,E,100,E,100,E,94,E,46,E,46,E,50,E,,A,,A,,A,1,D,1,D
20181,03778772,64,0,1,,A,,A,,A,1,D,1,D,,A,16,E,16,E,15,E,29,E,29,E,30,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20181,03778772,65,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,50,D,50,D,,A,1,D
20181,03778772,66,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,10,D,10,D,10,D,,A,1,D
20181,03778782,22,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,75,D,75,D,75,D,,A,1,D
20181,03778822,19,0,1,,A,,A,,A,1,D,2,D,,A,85,D,85,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03778822,20,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,100,D,100,D,,A,1,D
20181,03778822,21,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,30,D,30,D,30,D,,A,1,D
20181,03778852,69,0,1,,A,1,D,,A,1,D,1,D,,A,59,E,61,E,61,E,108,E,115,E,115,E,53,E,55,E,55,E,,A,,A,,A,1,D,1,D
20181,03778852,70,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,179,D,220,D,159,D,,A,1,D
20181,03778872,43,0,1,,A,1,D,,A,1,D,2,D,,A,46,E,46,E,46,E,,A,,A,,A,29,E,29,E,29,E,,A,,A,,A,2,D,1,D
20181,03778872,44,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,144,D,144,D,144,D,,A,1,D
20181,03778872,45,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,102,D,102,D,102,D,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03778922,22,0,1,,A,1,D,,A,1,D,2,D,,A,87,E,87,E,88,E,,A,,A,,A,63,E,63,E,62,E,,A,,A,,A,2,D,1,D
20181,03778922,23,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,70,D,70,D,70,D,,A,1,D
20181,03778942,61,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,37,D,41,D,41,D,,A,,A,,A,,A,1,D
20181,03778942,62,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,108,D,107,D,107,D,,A,1,D
20181,03778942,63,0,1,,A,,A,,A,1,D,1,D,,A,52,E,54,E,53,E,75,E,73,E,74,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20181,03778942,64,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,4,D,4,D,7,D,,A,,A,,A,,A,1,D
20181,03778952,38,0,1,,A,1,D,,A,1,D,2,D,,A,44,E,45,E,44,E,,A,,A,,A,36,E,35,E,36,E,,A,,A,,A,2,D,1,D
20181,03778952,39,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,140,D,141,D,141,D,,A,,A,,A,,A,,A,,A,,A,2,D
20181,03778962,6,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,50,D,50,D,,A,1,D
20181,03778992,38,0,1,,A,1,D,,A,1,D,1,D,,A,57,E,55,E,55,E,139,E,139,E,139,E,39,E,41,E,41,E,,A,,A,,A,2,D,1,D
20181,03778992,39,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,50,D,50,D,,A,1,D
20181,03779022,24,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,300,D,300,D,300,D,,A,1,D
20181,03779022,25,0,1,,A,,A,,A,1,D,1,D,,A,33,E,33,E,33,E,47,E,47,E,47,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20181,03779072,29,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,100,D,100,D,,A,1,D
20181,03779072,30,0,1,,A,1,D,,A,1,D,1,D,,A,52,E,52,E,51,E,106,E,106,E,106,E,57,E,57,E,58,E,,A,,A,,A,2,D,1,D
20181,03779082,25,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,270,D,270,D,270,D,,A,1,D
20181,03779082,26,0,1,,A,1,D,,A,1,D,1,D,,A,56,E,54,E,54,E,113,E,115,E,115,E,61,E,61,E,61,E,,A,,A,,A,2,D,1,D
20181,03779142,17,0,1,,A,1,D,,A,1,D,1,D,,A,70,E,68,E,66,E,118,E,121,E,121,E,61,E,60,E,62,E,,A,,A,,A,2,D,1,D
20181,03779152,23,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,30,D,30,D,30,D,,A,1,D
20181,03779192,26,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,250,D,250,D,250,D,,A,1,D
20181,03779212,64,0,1,,A,1,D,,A,1,D,1,D,,A,48,E,49,E,50,E,92,E,91,E,90,E,45,E,45,E,45,E,,A,,A,,A,2,D,1,D
20181,03779212,65,0,1,,A,,A,2,D,2,D,2,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,175,D,175,D,,A,1,D
