NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_
03891174,11,2018,980000,2,1666.6667,
03891174,11,2018,980010,2,0.2500,
03891174,11,2018,980020,2,4.1667,
03891174,11,2018,980030,2,0.0833,
03891174,11,2018,980050,2,0.0833,
03891174,11,2018,980071,2,2081.1667,
03891174,11,2018,980090,1,8.3333,
03891174,11,2018,980220,2,8.3333,
03891174,11,2018,980230,2,8.3333,
03891174,11,2018,980281,2,8.3333,
03891174,11,2018,980286,2,8.3333,
03891174,11,2018,980310,2,8.3333,
03891174,11,2018,980340,2,8.3333,
03891174,11,2018,980350,2,8.3333,
03891174,11,2018,980360,2,0.0833,
03891174,12,2018,005100,2,0.4167,
03891174,12,2018,005110,2,66.6667,
03891174,12,2018,005400,2,1666.6667,
03891174,12,2018,005410,2,833.3333,
03891174,12,2018,800940,2,121.1667,
03891174,12,2018,900000,2,1583.3333,
03891174,12,2018,900090,2,83.3333,
03891174,12,2018,950004,2,-357.9167,
03891174,12,2018,950014,2,-56.5833,
03891174,12,2018,980000,2,1666.6667,
03891174,12,2018,980010,2,0.2500,
03891174,12,2018,980020,2,4.1667,
03891174,12,2018,980030,2,0.0833,
03891174,12,2018,980050,2,0.0833,
03891174,12,2018,980071,2,2081.1667,
03891174,12,2018,980090,1,8.3333,
03891174,12,2018,980220,2,8.3333,
03891174,12,2018,980230,2,8.3333,
03891174,12,2018,980281,2,8.3333,
03891174,12,2018,980286,2,8.3333,
03891174,12,2018,980310,2,8.3333,
03891174,12,2018,980340,2,8.3333,
03891174,12,2018,980350,2,8.3333,
03891174,12,2018,980360,2,0.0833,
03891224,10,2018,005400,2,83.3333,
03891224,10,2018,005410,2,83.3333,
03891224,10,2018,800910,2,226.7500,
03891224,10,2018,800940,2,832.0000,
03891224,10,2018,900000,2,10875.0000,
03891224,10,2018,950004,2,1406.5000,
03891224,10,2018,980000,2,10875.0000,
03891224,10,2018,980010,2,0.3333,
03891224,10,2018,980020,2,4.6667,
03891224,10,2018,980030,2,0.1667,
03891224,10,2018,980040,2,0.4167,
03891224,10,2018,980050,2,0.0833,
03891224,10,2018,980071,2,9468.5000,
03891224,10,2018,980090,1,8.3333,
03891224,10,2018,980210,2,8.3333,
03891224,10,2018,980230,2,8.3333,
03891224,10,2018,980281,2,8.3333,
03891224,10,2018,980286,2,8.3333,
03891224,10,2018,980310,2,8.3333,
03891224,10,2018,980330,2,8.3333,
03891224,10,2018,980350,2,8.3333,
03891224,11,2018,005400,2,83.3333,
03891224,11,2018,005410,2,83.3333,
03891224,11,2018,800910,2,226.7500,
03891224,11,2018,800940,2,832.0000,
03891224,11,2018,900000,2,10875.0000,
03891224,11,2018,950004,2,1406.5000,
03891224,11,2018,980000,2,10875.0000,
03891224,11,2018,980010,2,0.3333,
03891224,11,2018,980020,2,4.6667,
03891224,11,2018,980030,2,0.1667,
03891224,11,2018,980040,2,0.4167,
03891224,11,2018,980050,2,0.0833,
03891224,11,2018,980071,2,9468.5000,
03891224,11,2018,980090,1,8.3333,
03891224,11,2018,980210,2,8.3333,
03891224,11,2018,980230,2,8.3333,
03891224,11,2018,980281,2,8.3333,
03891224,11,2018,980286,2,8.3333,
03891224,11,2018,980310,2,8.3333,
03891224,11,2018,980330,2,8.3333,
03891224,11,2018,980350,2,8.3333,
03891224,12,2018,005400,2,83.3333,
03891224,12,2018,005410,2,83.3333,
03891224,12,2018,800910,2,226.7500,
03891224,12,2018,800940,2,832.0000,
03891224,12,2018,900000,2,10875.0000,
03891224,12,2018,950004,2,1406.5000,
03891224,12,2018,980000,2,10875.0000,
03891224,12,2018,980010,2,0.3333,
03891224,12,2018,980020,2,4.6667,
03891224,12,2018,980030,2,0.1667,
03891224,12,2018,980040,2,0.4167,
03891224,12,2018,980050,2,0.0833,
03891224,12,2018,980071,2,9468.5000,
03891224,12,2018,980090,1,8.3333,
03891224,12,2018,980210,2,8.3333,
03891224,12,2018,980230,2,8.3333,
03891224,12,2018,980281,2,8.3333,
03891224,12,2018,980286,2,8.3333,
03891224,12,2018,980310,2,8.3333,
03891224,12,2018,980330,2,8.3333,
03891224,12,2018,980350,2,8.3333,
03891234,10,2018,800940,2,172.3000,
03891234,10,2018,900000,2,2252.3667,
03891234,10,2018,950004,2,79.8333,
03891234,10,2018,950014,2,37.5833,
03891234,10,2018,980000,2,2252.3667,
03891234,10,2018,980010,2,0.1667,
03891234,10,2018,980020,2,3.4167,
03891234,10,2018,980030,2,0.0833,
03891234,10,2018,980071,2,2134.9500,
03891234,10,2018,980220,2,8.3333,
03891234,10,2018,980260,2,8.3333,
03891234,10,2018,980270,2,8.3333,
03891234,10,2018,980286,2,8.3333,
03891234,10,2018,980300,2,8.3333,
03891234,11,2018,800940,2,172.3000,
03891234,11,2018,900000,2,2252.3667,
03891234,11,2018,950004,2,79.8333,
03891234,11,2018,950014,2,37.5833,
03891234,11,2018,980000,2,2252.3667,
03891234,11,2018,980010,2,0.1667,
03891234,11,2018,980020,2,3.4167,
03891234,11,2018,980030,2,0.0833,
03891234,11,2018,980071,2,2134.9500,
03891234,11,2018,980220,2,8.3333,
03891234,11,2018,980260,2,8.3333,
03891234,11,2018,980270,2,8.3333,
03891234,11,2018,980286,2,8.3333,
03891234,11,2018,980300,2,8.3333,
03891234,12,2018,800940,2,172.3000,
03891234,12,2018,900000,2,2252.3667,
03891234,12,2018,950004,2,79.8333,
03891234,12,2018,950014,2,37.5833,
03891234,12,2018,980000,2,2252.3667,
03891234,12,2018,980010,2,0.1667,
03891234,12,2018,980020,2,3.4167,
03891234,12,2018,980030,2,0.0833,
03891234,12,2018,980071,2,2134.9500,
03891234,12,2018,980220,2,8.3333,
03891234,12,2018,980260,2,8.3333,
03891234,12,2018,980270,2,8.3333,
03891234,12,2018,980286,2,8.3333,
03891234,12,2018,980300,2,8.3333,
03891244,10,2018,005100,2,49.9167,
03891244,10,2018,005110,2,16.6667,
03891244,10,2018,800940,2,758.8833,
03891244,10,2018,900000,2,9920.1333,
03891244,10,2018,950004,2,1037.5833,
03891244,10,2018,950014,2,370.5833,
03891244,10,2018,980000,2,9920.1333,
03891244,10,2018,980010,2,0.2500,
03891244,10,2018,980020,2,4.8333,
03891244,10,2018,980030,2,0.2500,
03891244,10,2018,980040,2,0.3333,
03891244,10,2018,980071,2,8511.9667,
03891244,10,2018,980090,1,8.3333,
03891244,10,2018,980220,2,8.3333,
03891244,10,2018,980240,2,8.3333,
03891244,10,2018,980270,2,8.3333,
03891244,10,2018,980286,2,8.3333,
03891244,10,2018,980300,2,8.3333,
03891244,10,2018,980330,2,8.3333,
03891244,10,2018,980350,2,8.3333,
03891244,11,2018,005100,2,49.9167,
03891244,11,2018,005110,2,16.6667,
03891244,11,2018,800940,2,758.8833,
03891244,11,2018,900000,2,9920.1333,
03891244,11,2018,950004,2,1037.5833,
03891244,11,2018,950014,2,370.5833,
03891244,11,2018,980000,2,9920.1333,
03891244,11,2018,980010,2,0.2500,
03891244,11,2018,980020,2,4.8333,
03891244,11,2018,980030,2,0.2500,
03891244,11,2018,980040,2,0.3333,
03891244,11,2018,980071,2,8511.9667,
03891244,11,2018,980090,1,8.3333,
03891244,11,2018,980220,2,8.3333,
03891244,11,2018,980240,2,8.3333,
03891244,11,2018,980270,2,8.3333,
03891244,11,2018,980286,2,8.3333,
03891244,11,2018,980300,2,8.3333,
03891244,11,2018,980330,2,8.3333,
03891244,11,2018,980350,2,8.3333,
03891244,12,2018,005100,2,49.9167,
03891244,12,2018,005110,2,16.6667,
03891244,12,2018,800940,2,758.8833,
03891244,12,2018,900000,2,9920.1333,
03891244,12,2018,950004,2,1037.5833,
03891244,12,2018,950014,2,370.5833,
03891244,12,2018,980000,2,9920.1333,
03891244,12,2018,980010,2,0.2500,
03891244,12,2018,980020,2,4.8333,
03891244,12,2018,980030,2,0.2500,
03891244,12,2018,980040,2,0.3333,
03891244,12,2018,980071,2,8511.9667,
03891244,12,2018,980090,1,8.3333,
03891244,12,2018,980220,2,8.3333,
03891244,12,2018,980240,2,8.3333,
03891244,12,2018,980270,2,8.3333,
03891244,12,2018,980286,2,8.3333,
03891244,12,2018,980300,2,8.3333,
03891244,12,2018,980330,2,8.3333,
