NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE_,IMPNUM,VALUE
04006694,04,2019,900030,2,,1,1525.5
04006694,04,2019,900030,2,,2,1525.5
04006694,04,2019,900030,2,,3,1525.5
04006694,04,2019,900030,2,,4,1525.5
04006694,04,2019,900030,2,,5,1525.5
04006694,04,2019,900170,2,,1,1000
04006694,04,2019,900170,2,,2,1000
04006694,04,2019,900170,2,,3,1000
04006694,04,2019,900170,2,,4,1000
04006694,04,2019,900170,2,,5,1000
04006694,04,2019,900180,2,,1,66.6667
04006694,04,2019,900180,2,,2,66.6667
04006694,04,2019,900180,2,,3,66.6667
04006694,04,2019,900180,2,,4,66.6667
04006694,04,2019,900180,2,,5,66.6667
04006694,04,2019,900210,2,,1,1000
04006694,04,2019,900210,2,,2,1000
04006694,04,2019,900210,2,,3,1000
04006694,04,2019,900210,2,,4,1000
04006694,04,2019,900210,2,,5,1000
04006694,04,2019,980000,2,,1,3592.1667
04006694,04,2019,980000,2,,2,3592.1667
04006694,04,2019,980000,2,,3,3592.1667
04006694,04,2019,980000,2,,4,3592.1667
04006694,04,2019,980000,2,,5,3592.1667
04006694,04,2019,980071,2,,1,3522
04006694,04,2019,980071,2,,2,3522
04006694,04,2019,980071,2,,3,3522
04006694,04,2019,980071,2,,4,3522
04006694,04,2019,980071,2,,5,3522
04006694,05,2019,900030,2,,1,1525.5
04006694,05,2019,900030,2,,2,1525.5
04006694,05,2019,900030,2,,3,1525.5
04006694,05,2019,900030,2,,4,1525.5
04006694,05,2019,900030,2,,5,1525.5
04006694,05,2019,900170,2,,1,1000
04006694,05,2019,900170,2,,2,1000
04006694,05,2019,900170,2,,3,1000
04006694,05,2019,900170,2,,4,1000
04006694,05,2019,900170,2,,5,1000
04006694,05,2019,900180,2,,1,66.6667
04006694,05,2019,900180,2,,2,66.6667
04006694,05,2019,900180,2,,3,66.6667
04006694,05,2019,900180,2,,4,66.6667
04006694,05,2019,900180,2,,5,66.6667
04006694,05,2019,900210,2,,1,1000
04006694,05,2019,900210,2,,2,1000
04006694,05,2019,900210,2,,3,1000
04006694,05,2019,900210,2,,4,1000
04006694,05,2019,900210,2,,5,1000
04006694,05,2019,980000,2,,1,3592.1667
04006694,05,2019,980000,2,,2,3592.1667
04006694,05,2019,980000,2,,3,3592.1667
04006694,05,2019,980000,2,,4,3592.1667
04006694,05,2019,980000,2,,5,3592.1667
04006694,05,2019,980071,2,,1,3522
04006694,05,2019,980071,2,,2,3522
04006694,05,2019,980071,2,,3,3522
04006694,05,2019,980071,2,,4,3522
04006694,05,2019,980071,2,,5,3522
04006694,06,2019,900030,2,,1,1525.5
04006694,06,2019,900030,2,,2,1525.5
04006694,06,2019,900030,2,,3,1525.5
04006694,06,2019,900030,2,,4,1525.5
04006694,06,2019,900030,2,,5,1525.5
04006694,06,2019,900170,2,,1,1000
04006694,06,2019,900170,2,,2,1000
04006694,06,2019,900170,2,,3,1000
04006694,06,2019,900170,2,,4,1000
04006694,06,2019,900170,2,,5,1000
04006694,06,2019,900180,2,,1,66.6667
04006694,06,2019,900180,2,,2,66.6667
04006694,06,2019,900180,2,,3,66.6667
04006694,06,2019,900180,2,,4,66.6667
04006694,06,2019,900180,2,,5,66.6667
04006694,06,2019,900210,2,,1,1000
04006694,06,2019,900210,2,,2,1000
04006694,06,2019,900210,2,,3,1000
04006694,06,2019,900210,2,,4,1000
04006694,06,2019,900210,2,,5,1000
04006694,06,2019,980000,2,,1,3592.1667
04006694,06,2019,980000,2,,2,3592.1667
04006694,06,2019,980000,2,,3,3592.1667
04006694,06,2019,980000,2,,4,3592.1667
04006694,06,2019,980000,2,,5,3592.1667
04006694,06,2019,980071,2,,1,3522
04006694,06,2019,980071,2,,2,3522
04006694,06,2019,980071,2,,3,3522
04006694,06,2019,980071,2,,4,3522
04006694,06,2019,980071,2,,5,3522
04006704,04,2019,900090,2,,1,755
04006704,04,2019,900090,2,,2,755
04006704,04,2019,900090,2,,3,755
04006704,04,2019,900090,2,,4,755
04006704,04,2019,900090,2,,5,755
04006704,04,2019,980000,2,,1,755
04006704,04,2019,980000,2,,2,755
04006704,04,2019,980000,2,,3,755
04006704,04,2019,980000,2,,4,755
04006704,04,2019,980000,2,,5,755
04006704,04,2019,980071,2,,1,755
04006704,04,2019,980071,2,,2,755
04006704,04,2019,980071,2,,3,755
04006704,04,2019,980071,2,,4,755
04006704,04,2019,980071,2,,5,755
04006704,05,2019,900090,2,,1,755
04006704,05,2019,900090,2,,2,755
04006704,05,2019,900090,2,,3,755
04006704,05,2019,900090,2,,4,755
04006704,05,2019,900090,2,,5,755
04006704,05,2019,980000,2,,1,755
04006704,05,2019,980000,2,,2,755
04006704,05,2019,980000,2,,3,755
04006704,05,2019,980000,2,,4,755
04006704,05,2019,980000,2,,5,755
04006704,05,2019,980071,2,,1,755
04006704,05,2019,980071,2,,2,755
04006704,05,2019,980071,2,,3,755
04006704,05,2019,980071,2,,4,755
04006704,05,2019,980071,2,,5,755
04006704,06,2019,900090,2,,1,755
04006704,06,2019,900090,2,,2,755
04006704,06,2019,900090,2,,3,755
04006704,06,2019,900090,2,,4,755
04006704,06,2019,900090,2,,5,755
04006704,06,2019,980000,2,,1,755
04006704,06,2019,980000,2,,2,755
04006704,06,2019,980000,2,,3,755
04006704,06,2019,980000,2,,4,755
04006704,06,2019,980000,2,,5,755
04006704,06,2019,980071,2,,1,755
04006704,06,2019,980071,2,,2,755
04006704,06,2019,980071,2,,3,755
04006704,06,2019,980071,2,,4,755
04006704,06,2019,980071,2,,5,755
04006764,04,2019,800940,2,,1,1156.9167
04006764,04,2019,800940,2,,2,1207.5
04006764,04,2019,800940,2,,3,968.1667
04006764,04,2019,800940,2,,4,975.3333
04006764,04,2019,800940,2,,5,1400.8333
04006764,04,2019,900000,2,T,1,21942.7147
04006764,04,2019,900000,2,T,2,21942.7147
04006764,04,2019,900000,2,T,3,21942.7147
04006764,04,2019,900000,2,T,4,21942.7147
04006764,04,2019,900000,2,T,5,21942.7147
04006764,04,2019,900160,2,,1,1294.1667
04006764,04,2019,900160,2,,2,1625.25
04006764,04,2019,900160,2,,3,60.6667
04006764,04,2019,900160,2,,4,107.8333
04006764,04,2019,900160,2,,5,2888.4167
04006764,04,2019,980000,2,T,1,23137.9814
04006764,04,2019,980000,2,T,2,23137.9814
04006764,04,2019,980000,2,T,3,23137.9814
04006764,04,2019,980000,2,T,4,23137.9814
04006764,04,2019,980000,2,T,5,23137.9814
04006764,04,2019,980071,2,T,1,18389.25
04006764,04,2019,980071,2,T,2,18720.333333
04006764,04,2019,980071,2,T,3,17155.75
04006764,04,2019,980071,2,T,4,17202.916667
04006764,04,2019,980071,2,T,5,19983.5
04006764,05,2019,800940,2,,1,1156.9167
04006764,05,2019,800940,2,,2,1207.5
04006764,05,2019,800940,2,,3,968.1667
04006764,05,2019,800940,2,,4,975.3333
04006764,05,2019,800940,2,,5,1400.8333
04006764,05,2019,900000,2,T,1,21942.7147
04006764,05,2019,900000,2,T,2,21942.7147
04006764,05,2019,900000,2,T,3,21942.7147
04006764,05,2019,900000,2,T,4,21942.7147
04006764,05,2019,900000,2,T,5,21942.7147
04006764,05,2019,900160,2,,1,1294.1667
04006764,05,2019,900160,2,,2,1625.25
04006764,05,2019,900160,2,,3,60.6667
04006764,05,2019,900160,2,,4,107.8333
04006764,05,2019,900160,2,,5,2888.4167
04006764,05,2019,980000,2,T,1,23137.9814
04006764,05,2019,980000,2,T,2,23137.9814
04006764,05,2019,980000,2,T,3,23137.9814
04006764,05,2019,980000,2,T,4,23137.9814
04006764,05,2019,980000,2,T,5,23137.9814
04006764,05,2019,980071,2,T,1,18389.25
04006764,05,2019,980071,2,T,2,18720.333333
04006764,05,2019,980071,2,T,3,17155.75
04006764,05,2019,980071,2,T,4,17202.916667
04006764,05,2019,980071,2,T,5,19983.5
04006764,06,2019,800940,2,,1,1156.9167
04006764,06,2019,800940,2,,2,1207.5
04006764,06,2019,800940,2,,3,968.1667
04006764,06,2019,800940,2,,4,975.3333
04006764,06,2019,800940,2,,5,1400.8333
04006764,06,2019,900000,2,T,1,21942.7147
04006764,06,2019,900000,2,T,2,21942.7147
04006764,06,2019,900000,2,T,3,21942.7147
04006764,06,2019,900000,2,T,4,21942.7147
04006764,06,2019,900000,2,T,5,21942.7147
04006764,06,2019,900160,2,,1,1294.1667
04006764,06,2019,900160,2,,2,1625.25
