NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_
04069474,07,2019,800940,2,1176.0944,T
04069474,07,2019,900000,2,21859.3814,T
04069474,07,2019,950004,2,3720.5000,
04069474,07,2019,980000,2,21859.3814,T
04069474,07,2019,980010,2,0.2500,
04069474,07,2019,980020,2,4.0833,
04069474,07,2019,980030,2,0.0833,
04069474,07,2019,980040,2,0.1667,
04069474,07,2019,980071,2,18138.8833,T
04069474,07,2019,980090,1,8.3333,
04069474,07,2019,980220,2,8.3333,
04069474,07,2019,980230,2,8.3333,
04069474,07,2019,980281,2,8.3333,
04069474,07,2019,980286,2,8.3333,
04069474,07,2019,980300,2,8.3333,
04069474,07,2019,980330,2,8.3333,
04069474,07,2019,980350,2,8.3333,
04069474,08,2019,800940,2,1176.0944,T
04069474,08,2019,900000,2,21859.3814,T
04069474,08,2019,950004,2,3720.5000,
04069474,08,2019,980000,2,21859.3814,T
04069474,08,2019,980010,2,0.2500,
04069474,08,2019,980020,2,4.0833,
04069474,08,2019,980030,2,0.0833,
04069474,08,2019,980040,2,0.1667,
04069474,08,2019,980071,2,18138.8833,T
04069474,08,2019,980090,1,8.3333,
04069474,08,2019,980220,2,8.3333,
04069474,08,2019,980230,2,8.3333,
04069474,08,2019,980281,2,8.3333,
04069474,08,2019,980286,2,8.3333,
04069474,08,2019,980300,2,8.3333,
04069474,08,2019,980330,2,8.3333,
04069474,08,2019,980350,2,8.3333,
04069474,09,2019,800940,2,1176.0944,T
04069474,09,2019,900000,2,21859.3814,T
04069474,09,2019,950004,2,3720.5000,
04069474,09,2019,980000,2,21859.3814,T
04069474,09,2019,980010,2,0.2500,
04069474,09,2019,980020,2,4.0833,
04069474,09,2019,980030,2,0.0833,
04069474,09,2019,980040,2,0.1667,
04069474,09,2019,980071,2,18138.8833,T
04069474,09,2019,980090,1,8.3333,
04069474,09,2019,980220,2,8.3333,
04069474,09,2019,980230,2,8.3333,
04069474,09,2019,980281,2,8.3333,
04069474,09,2019,980286,2,8.3333,
04069474,09,2019,980300,2,8.3333,
