NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE_,IMPNUM,VALUE
04069474,07,2019,800940,2,T,1,1176.0944
04069474,07,2019,800940,2,T,2,1176.0944
04069474,07,2019,800940,2,T,3,1176.0944
04069474,07,2019,800940,2,T,4,1176.0944
04069474,07,2019,800940,2,T,5,1176.0944
04069474,07,2019,900000,2,T,1,21859.3814
04069474,07,2019,900000,2,T,2,21859.3814
04069474,07,2019,900000,2,T,3,21859.3814
04069474,07,2019,900000,2,T,4,21859.3814
04069474,07,2019,900000,2,T,5,21859.3814
04069474,07,2019,980000,2,T,1,21859.3814
04069474,07,2019,980000,2,T,2,21859.3814
04069474,07,2019,980000,2,T,3,21859.3814
04069474,07,2019,980000,2,T,4,21859.3814
04069474,07,2019,980000,2,T,5,21859.3814
04069474,07,2019,980071,2,T,1,18138.916667
04069474,07,2019,980071,2,T,2,18138.916667
04069474,07,2019,980071,2,T,3,18138.916667
04069474,07,2019,980071,2,T,4,18138.916667
04069474,07,2019,980071,2,T,5,18138.916667
04069474,08,2019,800940,2,T,1,1176.0944
04069474,08,2019,800940,2,T,2,1176.0944
04069474,08,2019,800940,2,T,3,1176.0944
04069474,08,2019,800940,2,T,4,1176.0944
04069474,08,2019,800940,2,T,5,1176.0944
04069474,08,2019,900000,2,T,1,21859.3814
04069474,08,2019,900000,2,T,2,21859.3814
04069474,08,2019,900000,2,T,3,21859.3814
04069474,08,2019,900000,2,T,4,21859.3814
04069474,08,2019,900000,2,T,5,21859.3814
04069474,08,2019,980000,2,T,1,21859.3814
04069474,08,2019,980000,2,T,2,21859.3814
04069474,08,2019,980000,2,T,3,21859.3814
04069474,08,2019,980000,2,T,4,21859.3814
04069474,08,2019,980000,2,T,5,21859.3814
04069474,08,2019,980071,2,T,1,18138.916667
04069474,08,2019,980071,2,T,2,18138.916667
04069474,08,2019,980071,2,T,3,18138.916667
04069474,08,2019,980071,2,T,4,18138.916667
04069474,08,2019,980071,2,T,5,18138.916667
04069474,09,2019,800940,2,T,1,1176.0944
04069474,09,2019,800940,2,T,2,1176.0944
04069474,09,2019,800940,2,T,3,1176.0944
04069474,09,2019,800940,2,T,4,1176.0944
04069474,09,2019,800940,2,T,5,1176.0944
04069474,09,2019,900000,2,T,1,21859.3814
04069474,09,2019,900000,2,T,2,21859.3814
04069474,09,2019,900000,2,T,3,21859.3814
04069474,09,2019,900000,2,T,4,21859.3814
04069474,09,2019,900000,2,T,5,21859.3814
