NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_
03944034,02,2019,980310,2,8.3333,
03944034,02,2019,980330,2,8.3333,
03944034,02,2019,980350,2,8.3333,
03944034,03,2019,005100,2,35164.9673,T
03944034,03,2019,005110,2,30292.2115,T
03944034,03,2019,005200,2,27083.3333,
03944034,03,2019,005210,2,27083.3333,
03944034,03,2019,900030,2,3171.0000,
03944034,03,2019,900180,2,362.0833,
03944034,03,2019,950014,2,-92.3333,
03944034,03,2019,980000,2,3533.0833,
03944034,03,2019,980010,2,0.1667,
03944034,03,2019,980020,2,6.2500,
03944034,03,2019,980040,2,0.1667,
03944034,03,2019,980060,2,0.1667,
03944034,03,2019,980071,2,3625.4167,
03944034,03,2019,980090,1,8.3333,
03944034,03,2019,980210,2,8.3333,
03944034,03,2019,980240,2,8.3333,
03944034,03,2019,980281,2,8.3333,
03944034,03,2019,980286,2,8.3333,
03944034,03,2019,980310,2,8.3333,
03944034,03,2019,980330,2,8.3333,
03944034,03,2019,980350,2,8.3333,
03944064,01,2019,900030,2,1554.3000,
03944064,01,2019,950014,2,-2.0833,
03944064,01,2019,980000,2,1554.3000,
03944064,01,2019,980010,2,0.0833,
03944064,01,2019,980020,2,6.6667,
03944064,01,2019,980060,2,0.0833,
03944064,01,2019,980071,2,1556.3833,
03944064,01,2019,980090,1,8.3333,
03944064,01,2019,980210,2,8.3333,
03944064,01,2019,980230,2,8.3333,
03944064,01,2019,980281,2,8.3333,
03944064,01,2019,980286,2,8.3333,
03944064,01,2019,980300,2,8.3333,
03944064,02,2019,900030,2,1554.3000,
03944064,02,2019,950014,2,-2.0833,
03944064,02,2019,980000,2,1554.3000,
03944064,02,2019,980010,2,0.0833,
03944064,02,2019,980020,2,6.6667,
03944064,02,2019,980060,2,0.0833,
03944064,02,2019,980071,2,1556.3833,
03944064,02,2019,980090,1,8.3333,
03944064,02,2019,980210,2,8.3333,
03944064,02,2019,980230,2,8.3333,
03944064,02,2019,980281,2,8.3333,
03944064,02,2019,980286,2,8.3333,
03944064,02,2019,980300,2,8.3333,
03944064,03,2019,900030,2,1554.3000,
03944064,03,2019,950014,2,-2.0833,
03944064,03,2019,980000,2,1554.3000,
03944064,03,2019,980010,2,0.0833,
03944064,03,2019,980020,2,6.6667,
03944064,03,2019,980060,2,0.0833,
03944064,03,2019,980071,2,1556.3833,
03944064,03,2019,980090,1,8.3333,
03944064,03,2019,980210,2,8.3333,
03944064,03,2019,980230,2,8.3333,
03944064,03,2019,980281,2,8.3333,
03944064,03,2019,980286,2,8.3333,
03944064,03,2019,980300,2,8.3333,
03944104,01,2019,005100,2,41.6667,
03944104,01,2019,005110,2,41.6667,
03944104,01,2019,005400,2,416.6667,
03944104,01,2019,005410,2,416.6667,
03944104,01,2019,800940,2,599.2500,
03944104,01,2019,900160,2,3916.6667,
03944104,01,2019,950004,2,-446.0000,
03944104,01,2019,950014,2,123.6667,
03944104,01,2019,980000,2,3916.6667,
03944104,01,2019,980010,2,0.4167,
03944104,01,2019,980020,2,3.5000,
03944104,01,2019,980030,2,0.0833,
03944104,01,2019,980040,2,0.1667,
03944104,01,2019,980050,2,0.2500,
03944104,01,2019,980071,2,4239.0000,
03944104,01,2019,980220,2,8.3333,
03944104,01,2019,980260,2,8.3333,
03944104,01,2019,980281,2,8.3333,
03944104,01,2019,980285,2,8.3333,
03944104,01,2019,980310,2,8.3333,
03944104,01,2019,980330,2,8.3333,
03944104,01,2019,980350,2,8.3333,
03944104,02,2019,005100,2,41.6667,
03944104,02,2019,005110,2,41.6667,
03944104,02,2019,005400,2,416.6667,
03944104,02,2019,005410,2,416.6667,
03944104,02,2019,800940,2,599.2500,
03944104,02,2019,900160,2,3916.6667,
03944104,02,2019,950004,2,-446.0000,
03944104,02,2019,950014,2,123.6667,
03944104,02,2019,980000,2,3916.6667,
03944104,02,2019,980010,2,0.4167,
03944104,02,2019,980020,2,3.5000,
03944104,02,2019,980030,2,0.0833,
03944104,02,2019,980040,2,0.1667,
03944104,02,2019,980050,2,0.2500,
03944104,02,2019,980071,2,4239.0000,
03944104,02,2019,980220,2,8.3333,
03944104,02,2019,980260,2,8.3333,
03944104,02,2019,980281,2,8.3333,
03944104,02,2019,980285,2,8.3333,
03944104,02,2019,980310,2,8.3333,
03944104,02,2019,980330,2,8.3333,
03944104,02,2019,980350,2,8.3333,
03944104,03,2019,005100,2,41.6667,
03944104,03,2019,005110,2,41.6667,
03944104,03,2019,005400,2,416.6667,
03944104,03,2019,005410,2,416.6667,
03944104,03,2019,800940,2,599.2500,
03944104,03,2019,900160,2,3916.6667,
03944104,03,2019,950004,2,-446.0000,
03944104,03,2019,950014,2,123.6667,
03944104,03,2019,980000,2,3916.6667,
03944104,03,2019,980010,2,0.4167,
03944104,03,2019,980020,2,3.5000,
03944104,03,2019,980030,2,0.0833,
03944104,03,2019,980040,2,0.1667,
03944104,03,2019,980050,2,0.2500,
03944104,03,2019,980071,2,4239.0000,
03944104,03,2019,980220,2,8.3333,
03944104,03,2019,980260,2,8.3333,
03944104,03,2019,980281,2,8.3333,
03944104,03,2019,980285,2,8.3333,
03944104,03,2019,980310,2,8.3333,
03944104,03,2019,980330,2,8.3333,
03944104,03,2019,980350,2,8.3333,
03944114,01,2019,005100,2,500.0000,
03944114,01,2019,005110,2,333.3333,
03944114,01,2019,005200,2,1666.6667,
03944114,01,2019,005210,2,1166.6667,
03944114,01,2019,800940,2,414.4167,
03944114,01,2019,900000,2,5416.6667,
03944114,01,2019,950004,2,630.6667,
03944114,01,2019,980000,2,5416.6667,
03944114,01,2019,980010,2,0.0833,
03944114,01,2019,980020,2,2.2500,
03944114,01,2019,980030,2,0.0833,
03944114,01,2019,980040,2,0.1667,
03944114,01,2019,980071,2,4786.0000,
03944114,01,2019,980090,1,8.3333,
03944114,01,2019,980210,2,8.3333,
03944114,01,2019,980230,2,8.3333,
03944114,01,2019,980281,2,8.3333,
03944114,01,2019,980286,2,8.3333,
03944114,01,2019,980300,2,8.3333,
03944114,01,2019,980330,2,8.3333,
03944114,01,2019,980350,2,8.3333,
03944114,02,2019,005100,2,500.0000,
03944114,02,2019,005110,2,333.3333,
03944114,02,2019,005200,2,1666.6667,
03944114,02,2019,005210,2,1166.6667,
03944114,02,2019,800940,2,414.4167,
03944114,02,2019,900000,2,5416.6667,
03944114,02,2019,950004,2,630.6667,
03944114,02,2019,980000,2,5416.6667,
03944114,02,2019,980010,2,0.0833,
03944114,02,2019,980020,2,2.2500,
03944114,02,2019,980030,2,0.0833,
03944114,02,2019,980040,2,0.1667,
03944114,02,2019,980071,2,4786.0000,
03944114,02,2019,980090,1,8.3333,
03944114,02,2019,980210,2,8.3333,
03944114,02,2019,980230,2,8.3333,
03944114,02,2019,980281,2,8.3333,
03944114,02,2019,980286,2,8.3333,
03944114,02,2019,980300,2,8.3333,
03944114,02,2019,980330,2,8.3333,
03944114,02,2019,980350,2,8.3333,
03944114,03,2019,005100,2,500.0000,
03944114,03,2019,005110,2,333.3333,
03944114,03,2019,005200,2,1666.6667,
03944114,03,2019,005210,2,1166.6667,
03944114,03,2019,800940,2,414.4167,
03944114,03,2019,900000,2,5416.6667,
03944114,03,2019,950004,2,630.6667,
03944114,03,2019,980000,2,5416.6667,
03944114,03,2019,980010,2,0.0833,
03944114,03,2019,980020,2,2.2500,
03944114,03,2019,980030,2,0.0833,
03944114,03,2019,980040,2,0.1667,
03944114,03,2019,980071,2,4786.0000,
03944114,03,2019,980090,1,8.3333,
03944114,03,2019,980210,2,8.3333,
03944114,03,2019,980230,2,8.3333,
03944114,03,2019,980281,2,8.3333,
03944114,03,2019,980286,2,8.3333,
03944114,03,2019,980300,2,8.3333,
03944114,03,2019,980330,2,8.3333,
03944114,03,2019,980350,2,8.3333,
03944134,01,2019,800940,2,99.4167,
03944134,01,2019,900000,2,1300.0000,
03944134,01,2019,900030,2,1035.5000,
03944134,01,2019,950014,2,-1.0000,
03944134,01,2019,980000,2,2335.5000,
03944134,01,2019,980010,2,0.1667,
03944134,01,2019,980020,2,4.5000,
03944134,01,2019,980030,2,0.0833,
03944134,01,2019,980060,2,0.0833,
03944134,01,2019,980071,2,2336.5000,
03944134,01,2019,980220,2,8.3333,
03944134,01,2019,980260,2,8.3333,
03944134,01,2019,980282,2,8.3333,
03944134,01,2019,980286,2,8.3333,
03944134,01,2019,980310,2,8.3333,
03944134,02,2019,800940,2,99.4167,
03944134,02,2019,900000,2,1300.0000,
03944134,02,2019,900030,2,1035.5000,
03944134,02,2019,950014,2,-1.0000,
03944134,02,2019,980000,2,2335.5000,
03944134,02,2019,980010,2,0.1667,
03944134,02,2019,980020,2,4.5000,
03944134,02,2019,980030,2,0.0833,
03944134,02,2019,980060,2,0.0833,
03944134,02,2019,980071,2,2336.5000,
03944134,02,2019,980220,2,8.3333,
03944134,02,2019,980260,2,8.3333,
03944134,02,2019,980282,2,8.3333,
03944134,02,2019,980286,2,8.3333,
03944134,02,2019,980310,2,8.3333,
03944134,03,2019,800940,2,99.4167,
03944134,03,2019,900000,2,1300.0000,
03944134,03,2019,900030,2,1035.5000,
03944134,03,2019,950014,2,-1.0000,
03944134,03,2019,980000,2,2335.5000,
03944134,03,2019,980010,2,0.1667,
03944134,03,2019,980020,2,4.5000,
03944134,03,2019,980030,2,0.0833,
03944134,03,2019,980060,2,0.0833,
03944134,03,2019,980071,2,2336.5000,
03944134,03,2019,980220,2,8.3333,
03944134,03,2019,980260,2,8.3333,
03944134,03,2019,980282,2,8.3333,
03944134,03,2019,980286,2,8.3333,
03944134,03,2019,980310,2,8.3333,
03944164,01,2019,005100,2,166.6667,
03944164,01,2019,005110,2,166.6667,
03944164,01,2019,005400,2,16.6667,
03944164,01,2019,800940,2,477.1667,
03944164,01,2019,900000,2,6237.2000,
03944164,01,2019,900180,2,10.3167,
03944164,01,2019,950004,2,344.0833,
03944164,01,2019,950014,2,290.5000,
03944164,01,2019,980000,2,6247.5167,
03944164,01,2019,980010,2,0.2500,
03944164,01,2019,980020,2,4.5000,
03944164,01,2019,980030,2,0.1667,
03944164,01,2019,980040,2,0.0833,
03944164,01,2019,980050,2,0.1667,
03944164,01,2019,980071,2,5612.9333,
03944164,01,2019,980090,1,8.3333,
03944164,01,2019,980220,2,8.3333,
