ucc,n_2019_records,detail,component,exclusion_group,fred_series,tely_group,liquid_payment_share,share_column,application_status,present_in_2019_mtbi
340908,188,household_operations_total,household_operations,other,CUUR0000SAH3,NA,1,unmatched_component_default_one,no_corresponding_dcpc_group_weight_one,TRUE
340910,19,household_operations_total,household_operations,other,CUUR0000SAH3,NA,1,unmatched_component_default_one,no_corresponding_dcpc_group_weight_one,TRUE
340914,1677,household_operations_total,household_operations,other,CUUR0000SAH3,NA,1,unmatched_component_default_one,no_corresponding_dcpc_group_weight_one,TRUE
340915,3632,household_operations_total,household_operations,other,CUUR0000SAH3,NA,1,unmatched_component_default_one,no_corresponding_dcpc_group_weight_one,TRUE
690113,325,household_operations_total,household_operations,other,CUUR0000SAH3,NA,1,unmatched_component_default_one,no_corresponding_dcpc_group_weight_one,TRUE
690114,49416,household_operations_total,household_operations,other,CUUR0000SAH3,NA,1,unmatched_component_default_one,no_corresponding_dcpc_group_weight_one,TRUE
990900,0,household_operations_total,household_operations,other,CUUR0000SAH3,NA,1,unmatched_component_default_one,no_corresponding_dcpc_group_weight_one,FALSE
220311,23488,mortgage_interest,mortgages,other,CUUR0000SEHC,mortgage,0.9718515597447572,weighted_dollar_share_broad,dcpc_share_applied,TRUE
220313,939,mortgage_interest,mortgages,other,CUUR0000SEHC,mortgage,0.9718515597447572,weighted_dollar_share_broad,dcpc_share_applied,TRUE
220321,0,mortgage_interest,mortgages,other,CUUR0000SEHC,mortgage,0.9718515597447572,weighted_dollar_share_broad,dcpc_share_applied,FALSE
880110,2034,mortgage_interest,mortgages,other,CUUR0000SEHC,mortgage,0.9718515597447572,weighted_dollar_share_broad,dcpc_share_applied,TRUE
210901,323,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,owned_dwelling_repairs_insurance_other,0.8518029244527301,weighted_dollar_share_broad,dcpc_share_applied,TRUE
220121,7982,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,owned_dwelling_repairs_insurance_other,0.8518029244527301,weighted_dollar_share_broad,dcpc_share_applied,TRUE
220901,195,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,owned_dwelling_repairs_insurance_other,0.8518029244527301,weighted_dollar_share_broad,dcpc_share_applied,TRUE
230112,307,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,owned_dwelling_repairs_insurance_other,0.8518029244527301,weighted_dollar_share_broad,dcpc_share_applied,TRUE
230113,1046,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,owned_dwelling_repairs_insurance_other,0.8518029244527301,weighted_dollar_share_broad,dcpc_share_applied,TRUE
230114,2007,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,owned_dwelling_repairs_insurance_other,0.8518029244527301,weighted_dollar_share_broad,dcpc_share_applied,TRUE
230115,393,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,owned_dwelling_repairs_insurance_other,0.8518029244527301,weighted_dollar_share_broad,dcpc_share_applied,TRUE
230122,0,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,owned_dwelling_repairs_insurance_other,0.8518029244527301,weighted_dollar_share_broad,dcpc_share_applied,FALSE
230142,131,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,owned_dwelling_repairs_insurance_other,0.8518029244527301,weighted_dollar_share_broad,dcpc_share_applied,TRUE
230151,1234,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,owned_dwelling_repairs_insurance_other,0.8518029244527301,weighted_dollar_share_broad,dcpc_share_applied,TRUE
230901,1964,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,owned_dwelling_repairs_insurance_other,0.8518029244527301,weighted_dollar_share_broad,dcpc_share_applied,TRUE
240112,797,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,owned_dwelling_repairs_insurance_other,0.8518029244527301,weighted_dollar_share_broad,dcpc_share_applied,TRUE
240122,797,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,owned_dwelling_repairs_insurance_other,0.8518029244527301,weighted_dollar_share_broad,dcpc_share_applied,TRUE
240212,404,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,owned_dwelling_repairs_insurance_other,0.8518029244527301,weighted_dollar_share_broad,dcpc_share_applied,TRUE
240213,91,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,owned_dwelling_repairs_insurance_other,0.8518029244527301,weighted_dollar_share_broad,dcpc_share_applied,TRUE
240222,201,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,owned_dwelling_repairs_insurance_other,0.8518029244527301,weighted_dollar_share_broad,dcpc_share_applied,TRUE
240312,402,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,owned_dwelling_repairs_insurance_other,0.8518029244527301,weighted_dollar_share_broad,dcpc_share_applied,TRUE
240322,228,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,owned_dwelling_repairs_insurance_other,0.8518029244527301,weighted_dollar_share_broad,dcpc_share_applied,TRUE
320612,1082,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,owned_dwelling_repairs_insurance_other,0.8518029244527301,weighted_dollar_share_broad,dcpc_share_applied,TRUE
320622,0,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,owned_dwelling_repairs_insurance_other,0.8518029244527301,weighted_dollar_share_broad,dcpc_share_applied,FALSE
320632,8,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,owned_dwelling_repairs_insurance_other,0.8518029244527301,weighted_dollar_share_broad,dcpc_share_applied,TRUE
340911,473,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,owned_dwelling_repairs_insurance_other,0.8518029244527301,weighted_dollar_share_broad,dcpc_share_applied,TRUE
990930,0,owned_dwelling_repairs_insurance_other,owned_dwelling_repairs_insurance_other,other,CUUR0000SAH3,owned_dwelling_repairs_insurance_other,0.8518029244527301,weighted_dollar_share_broad,dcpc_share_applied,FALSE
220211,41379,property_taxes,property_taxes,property_taxes,CUUR0000SEHC,property_taxes,0.8293021734852469,weighted_dollar_share_broad,dcpc_share_applied,TRUE
530110,3323,public_transportation,public_transportation,other,CUUR0000SETG,public_transportation,0.3405566421228268,weighted_dollar_share_broad,dcpc_share_applied,TRUE
530210,785,public_transportation,public_transportation,other,CUUR0000SETG,public_transportation,0.3405566421228268,weighted_dollar_share_broad,dcpc_share_applied,TRUE
530311,4975,public_transportation,public_transportation,other,CUUR0000SETG,public_transportation,0.3405566421228268,weighted_dollar_share_broad,dcpc_share_applied,TRUE
530312,1583,public_transportation,public_transportation,other,CUUR0000SETG,public_transportation,0.3405566421228268,weighted_dollar_share_broad,dcpc_share_applied,TRUE
530411,1583,public_transportation,public_transportation,other,CUUR0000SETG,public_transportation,0.3405566421228268,weighted_dollar_share_broad,dcpc_share_applied,TRUE
530412,7263,public_transportation,public_transportation,other,CUUR0000SETG,public_transportation,0.3405566421228268,weighted_dollar_share_broad,dcpc_share_applied,TRUE
530510,985,public_transportation,public_transportation,other,CUUR0000SETG,public_transportation,0.3405566421228268,weighted_dollar_share_broad,dcpc_share_applied,TRUE
530901,308,public_transportation,public_transportation,other,CUUR0000SETG,public_transportation,0.3405566421228268,weighted_dollar_share_broad,dcpc_share_applied,TRUE
530902,28,public_transportation,public_transportation,other,CUUR0000SETG,public_transportation,0.3405566421228268,weighted_dollar_share_broad,dcpc_share_applied,TRUE
800710,819,rent_as_pay,rents,other,CUUR0000SEHA,rent,0.9128200130815748,weighted_dollar_share_broad,dcpc_share_applied,TRUE
210110,21893,rent_excluding_as_pay,rents,other,CUUR0000SEHA,rent,0.9128200130815748,weighted_dollar_share_broad,dcpc_share_applied,TRUE
230121,0,rent_excluding_as_pay,rents,other,CUUR0000SEHA,rent,0.9128200130815748,weighted_dollar_share_broad,dcpc_share_applied,FALSE
230141,5,rent_excluding_as_pay,rents,other,CUUR0000SEHA,rent,0.9128200130815748,weighted_dollar_share_broad,dcpc_share_applied,TRUE
230150,149,rent_excluding_as_pay,rents,other,CUUR0000SEHA,rent,0.9128200130815748,weighted_dollar_share_broad,dcpc_share_applied,TRUE
240111,80,rent_excluding_as_pay,rents,other,CUUR0000SEHA,rent,0.9128200130815748,weighted_dollar_share_broad,dcpc_share_applied,TRUE
240121,80,rent_excluding_as_pay,rents,other,CUUR0000SEHA,rent,0.9128200130815748,weighted_dollar_share_broad,dcpc_share_applied,TRUE
240211,36,rent_excluding_as_pay,rents,other,CUUR0000SEHA,rent,0.9128200130815748,weighted_dollar_share_broad,dcpc_share_applied,TRUE
240221,8,rent_excluding_as_pay,rents,other,CUUR0000SEHA,rent,0.9128200130815748,weighted_dollar_share_broad,dcpc_share_applied,TRUE
240311,40,rent_excluding_as_pay,rents,other,CUUR0000SEHA,rent,0.9128200130815748,weighted_dollar_share_broad,dcpc_share_applied,TRUE
240321,20,rent_excluding_as_pay,rents,other,CUUR0000SEHA,rent,0.9128200130815748,weighted_dollar_share_broad,dcpc_share_applied,TRUE
320611,124,rent_excluding_as_pay,rents,other,CUUR0000SEHA,rent,0.9128200130815748,weighted_dollar_share_broad,dcpc_share_applied,TRUE
320621,0,rent_excluding_as_pay,rents,other,CUUR0000SEHA,rent,0.9128200130815748,weighted_dollar_share_broad,dcpc_share_applied,FALSE
320631,30,rent_excluding_as_pay,rents,other,CUUR0000SEHA,rent,0.9128200130815748,weighted_dollar_share_broad,dcpc_share_applied,TRUE
350110,2253,rent_excluding_as_pay,rents,other,CUUR0000SEHA,rent,0.9128200130815748,weighted_dollar_share_broad,dcpc_share_applied,TRUE
790690,15,rent_excluding_as_pay,rents,other,CUUR0000SEHA,rent,0.9128200130815748,weighted_dollar_share_broad,dcpc_share_applied,TRUE
990920,25,rent_excluding_as_pay,rents,other,CUUR0000SEHA,rent,0.9128200130815748,weighted_dollar_share_broad,dcpc_share_applied,TRUE
630110,8665,tobacco,tobacco,food_alcohol_tobacco,CUUR0000SEGA,food_alcohol_tobacco_proxy,0.6433479151199333,weighted_dollar_share_broad,dcpc_share_applied,TRUE
630210,2688,tobacco,tobacco,food_alcohol_tobacco,CUUR0000SEGA,food_alcohol_tobacco_proxy,0.6433479151199333,weighted_dollar_share_broad,dcpc_share_applied,TRUE
250111,116,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
250112,928,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
250113,19,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
250114,0,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,FALSE
250211,159,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
250212,1038,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
250213,353,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
250214,2,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,TRUE
250221,0,utilities,utilities,other,CUUR0000SAH2,utilities,0.8987863547309345,weighted_dollar_share_broad,dcpc_share_applied,FALSE
