QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TELBSNZ,TELBSNZ_,TELRESD,TELRESD_,TELCELL,TELCELL_,TINTNET,TINTNET_,TCABLE,TCABLE_,BILPERD,BILPERD_,QADINE1X,QADI_E1X,QADINE2X,QADI_E2X,QADINE3X,QADI_E3X,QADCAB1X,QADC_B1X,QADCAB2X,QADC_B2X,QADCAB3X,QADC_B3X,TELRES1X,TELR_S1X,TELRES2X,TELR_S2X,TELRES3X,TELR_S3X,TELCEL1X,TELC_L1X,TELCEL2X,TELC_L2X,TELCEL3X,TELC_L3X,TELBLPRS,TELB_PRS,TPHONE,TPHONE_
20191,03891134,32,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,120,D,120,D,120,D,,A,1,D
20191,03891134,33,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,233,D,233,D,233,D,,A,1,D
20191,03891134,34,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,80,D,80,D,80,D,,A,,A,,A,,A,1,D
20191,03891134,35,0,1,,A,,A,,A,1,D,1,D,,A,92,E,92,E,95,E,138,E,138,E,135,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20191,03891154,21,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,83,D,83,D,83,D,,A,1,D
20191,03891154,22,0,1,,A,,A,,A,1,D,1,D,,A,52,D,52,D,52,D,76,D,76,D,76,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20191,03891174,18,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,300,D,300,D,300,D,,A,1,D
20191,03891174,19,0,1,,A,,A,,A,1,D,1,D,,A,57,E,59,E,59,E,83,E,81,E,81,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20191,03891224,38,0,1,,A,,A,,A,1,D,2,D,,A,51,D,51,D,51,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20191,03891224,39,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,65,D,65,D,65,D,,A,,A,,A,,A,,A,,A,,A,2,D
20191,03891224,40,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,200,D,200,D,200,D,,A,1,D
20191,03891244,29,0,1,,A,1,D,,A,1,D,1,D,,A,65,E,52,E,65,E,120,E,95,E,120,E,55,E,43,E,55,E,,A,,A,,A,2,D,1,D
20191,03891244,30,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,120,D,120,D,120,D,,A,1,D
20191,03891254,11,0,1,,A,,A,2,D,1,D,2,D,,A,68,E,69,E,68,E,,A,,A,,A,,A,,A,,A,72,E,71,E,72,E,2,D,1,D
20191,03891284,72,0,1,,A,1,D,,A,1,D,1,D,,A,45,E,45,E,45,E,81,E,81,E,81,E,39,E,39,E,39,E,,A,,A,,A,1,D,1,D
20191,03891284,73,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,109,D,109,D,109,D,,A,1,D
20191,03891354,6,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,100,D,100,D,,A,1,D
