period,measure,n_rows,n_positive,n_zero,n_positive_complete_controls,mean_liquid,p50_liquid,p95_liquid
monthly_ref_month,benchmark,277947,277851,96,277851,1966.2969806357057,1507.09214647132,4898.732846180614
monthly_ref_month,excluding_food,277947,276457,1490,276457,1384.5789018440926,986.1435133169955,3746.263001500991
monthly_ref_month,excluding_food_property_taxes,277947,275717,2230,275717,1263.5783889148724,900.0207396072071,3446.819410826577
three_month_collection_sum,benchmark,92649,92630,19,92630,5898.890941907124,4641.7083170020705,14394.105388512613
three_month_collection_sum,excluding_food,92649,92342,307,92342,4153.73670553227,3080.9497014849694,10881.265722909453
three_month_collection_sum,excluding_food_property_taxes,92649,92228,421,92228,3790.7351667446214,2823.106909209462,10009.681125489842
