period,measure,n_stage1,n_ar,n_households,rho,eta_sd_pct,paper_eta_sd_pct,diff_from_paper_pct,abs_diff_from_paper_pct
monthly_ref_month,benchmark,277841,241141,35420,0.1931905388497827,32.789560752390685,19.6,13.189560752390683,13.189560752390683
monthly_ref_month,excluding_food,276319,239788,35163,0.15491011048047174,41.67751146659165,27.5,14.177511466591653,14.177511466591653
monthly_ref_month,excluding_food_property_taxes,275556,238951,35105,0.13073521107571523,44.962895921420895,29.4,15.562895921420896,15.562895921420896
three_month_collection_sum,benchmark,83143,55929,25943,-0.37551341302182717,22.455567135089687,19.6,2.855567135089686,2.855567135089686
three_month_collection_sum,excluding_food,82882,55760,25841,-0.3813865372333871,28.281658277278886,27.5,0.7816582772788863,0.7816582772788863
three_month_collection_sum,excluding_food_property_taxes,82781,55665,25819,-0.37945909506272224,30.394486636500734,29.4,0.994486636500735,0.994486636500735
