source,group,share_pct,n_households,n_complete_12_month_households,weighted_population
CEX 2001 appendix timing,Borrow,7.339632283680377,205,161,705546.6397499996
CEX 2001 appendix timing,Borrow and save,29.5303469243859,865,716,2838703.117249998
CEX 2001 appendix timing,Save,63.13002079193393,1688,1329,6068583.863000004
