characteristic,Borrow,Borrow and save,Save,Share in population
Race: white,0.7062104377019234,0.7975257159385691,0.7417069654106679,0.7548948356775002
Marital status: married,0.47981181890766145,0.6246512227084268,0.5663909381808466,0.5777177950415138
Have dependent children,0.4254138038686803,0.43825917061194225,0.371000785310405,0.3916748048688596
Head works full-time,0.7474295207461724,0.8979953450234706,0.7796160347201362,0.8097056816772704
Head white-collar/prof.,0.49988323888930625,0.6692114842986726,0.5759068237195153,0.5971297822446013
Education: less than HS,0.1371279684935751,0.04181296223427742,0.14881662329660303,0.11961114504354012
HS/some college,0.7321204687748761,0.6374415416148003,0.5262064791166559,0.5661038589018594
College degree or more,0.13075156273154828,0.320745496150922,0.3249768975867425,0.3142849960546044
