NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE_,IMPNUM,VALUE
03818564,07,2018,900030,2,,3,1248
03818564,07,2018,900030,2,,4,1248
03818564,07,2018,900030,2,,5,1248
03818564,08,2018,900030,2,,1,1248
03818564,08,2018,900030,2,,2,1248
03818564,08,2018,900030,2,,3,1248
03818564,08,2018,900030,2,,4,1248
03818564,08,2018,900030,2,,5,1248
03818564,09,2018,900030,2,,1,1248
03818564,09,2018,900030,2,,2,1248
03818564,09,2018,900030,2,,3,1248
03818564,09,2018,900030,2,,4,1248
03818564,09,2018,900030,2,,5,1248
03818564,07,2018,900170,2,,1,21.6667
03818564,07,2018,900170,2,,2,21.6667
03818564,07,2018,900170,2,,3,21.6667
03818564,07,2018,900170,2,,4,21.6667
03818564,07,2018,900170,2,,5,21.6667
03818564,08,2018,900170,2,,1,21.6667
03818564,08,2018,900170,2,,2,21.6667
03818564,08,2018,900170,2,,3,21.6667
03818564,08,2018,900170,2,,4,21.6667
03818564,08,2018,900170,2,,5,21.6667
03818564,09,2018,900170,2,,1,21.6667
03818564,09,2018,900170,2,,2,21.6667
03818564,09,2018,900170,2,,3,21.6667
03818564,09,2018,900170,2,,4,21.6667
03818564,09,2018,900170,2,,5,21.6667
03818564,07,2018,980000,2,,1,1269.6667
03818564,07,2018,980000,2,,2,1269.6667
03818564,07,2018,980000,2,,3,1269.6667
03818564,07,2018,980000,2,,4,1269.6667
03818564,07,2018,980000,2,,5,1269.6667
03818564,08,2018,980000,2,,1,1269.6667
03818564,08,2018,980000,2,,2,1269.6667
03818564,08,2018,980000,2,,3,1269.6667
03818564,08,2018,980000,2,,4,1269.6667
03818564,08,2018,980000,2,,5,1269.6667
03818564,09,2018,980000,2,,1,1269.6667
03818564,09,2018,980000,2,,2,1269.6667
03818564,09,2018,980000,2,,3,1269.6667
03818564,09,2018,980000,2,,4,1269.6667
03818564,09,2018,980000,2,,5,1269.6667
03818594,07,2018,800940,2,,1,323.5
03818594,07,2018,800940,2,,2,453.3333
03818594,07,2018,800940,2,,3,615.5
03818594,07,2018,800940,2,,4,296
03818594,07,2018,800940,2,,5,306.5833
03818594,08,2018,800940,2,,1,323.5
03818594,08,2018,800940,2,,2,453.3333
03818594,08,2018,800940,2,,3,615.5
03818594,08,2018,800940,2,,4,296
03818594,08,2018,800940,2,,5,306.5833
03818594,09,2018,800940,2,,1,323.5
03818594,09,2018,800940,2,,2,453.3333
03818594,09,2018,800940,2,,3,615.5
03818594,09,2018,800940,2,,4,296
03818594,09,2018,800940,2,,5,306.5833
03818594,07,2018,900000,2,,1,4229.5
03818594,07,2018,900000,2,,2,5926.3333
03818594,07,2018,900000,2,,3,8045.6667
03818594,07,2018,900000,2,,4,3869.25
03818594,07,2018,900000,2,,5,4008.1667
03818594,08,2018,900000,2,,1,4229.5
03818594,08,2018,900000,2,,2,5926.3333
03818594,08,2018,900000,2,,3,8045.6667
03818594,08,2018,900000,2,,4,3869.25
03818594,08,2018,900000,2,,5,4008.1667
03818594,09,2018,900000,2,,1,4229.5
03818594,09,2018,900000,2,,2,5926.3333
03818594,09,2018,900000,2,,3,8045.6667
03818594,09,2018,900000,2,,4,3869.25
03818594,09,2018,900000,2,,5,4008.1667
03818594,07,2018,900030,2,,1,2300
03818594,07,2018,900030,2,,2,2300
03818594,07,2018,900030,2,,3,2300
03818594,07,2018,900030,2,,4,2300
03818594,07,2018,900030,2,,5,2300
03818594,08,2018,900030,2,,1,2300
03818594,08,2018,900030,2,,2,2300
03818594,08,2018,900030,2,,3,2300
03818594,08,2018,900030,2,,4,2300
03818594,08,2018,900030,2,,5,2300
03818594,09,2018,900030,2,,1,2300
03818594,09,2018,900030,2,,2,2300
03818594,09,2018,900030,2,,3,2300
03818594,09,2018,900030,2,,4,2300
03818594,09,2018,900030,2,,5,2300
03818594,07,2018,980000,2,,1,6529.5
03818594,07,2018,980000,2,,2,8226.3333
03818594,07,2018,980000,2,,3,10345.6667
03818594,07,2018,980000,2,,4,6169.25
03818594,07,2018,980000,2,,5,6308.1667
03818594,08,2018,980000,2,,1,6529.5
03818594,08,2018,980000,2,,2,8226.3333
03818594,08,2018,980000,2,,3,10345.6667
03818594,08,2018,980000,2,,4,6169.25
03818594,08,2018,980000,2,,5,6308.1667
03818594,09,2018,980000,2,,1,6529.5
03818594,09,2018,980000,2,,2,8226.3333
03818594,09,2018,980000,2,,3,10345.6667
03818594,09,2018,980000,2,,4,6169.25
03818594,09,2018,980000,2,,5,6308.1667
03818604,07,2018,800940,2,,1,206.4167
03818604,07,2018,800940,2,,2,219.4167
03818604,07,2018,800940,2,,3,248.8333
03818604,07,2018,800940,2,,4,191
03818604,07,2018,800940,2,,5,184.4167
03818604,08,2018,800940,2,,1,206.4167
03818604,08,2018,800940,2,,2,219.4167
03818604,08,2018,800940,2,,3,248.8333
03818604,08,2018,800940,2,,4,191
03818604,08,2018,800940,2,,5,184.4167
03818604,09,2018,800940,2,,1,206.4167
03818604,09,2018,800940,2,,2,219.4167
03818604,09,2018,800940,2,,3,248.8333
03818604,09,2018,800940,2,,4,191
03818604,09,2018,800940,2,,5,184.4167
03818604,07,2018,900000,2,,1,2698.5833
03818604,07,2018,900000,2,,2,2867.75
03818604,07,2018,900000,2,,3,3252.5833
03818604,07,2018,900000,2,,4,2496.9167
03818604,07,2018,900000,2,,5,2410.5
03818604,08,2018,900000,2,,1,2698.5833
03818604,08,2018,900000,2,,2,2867.75
03818604,08,2018,900000,2,,3,3252.5833
03818604,08,2018,900000,2,,4,2496.9167
03818604,08,2018,900000,2,,5,2410.5
03818604,09,2018,900000,2,,1,2698.5833
03818604,09,2018,900000,2,,2,2867.75
03818604,09,2018,900000,2,,3,3252.5833
03818604,09,2018,900000,2,,4,2496.9167
03818604,09,2018,900000,2,,5,2410.5
03818604,07,2018,980000,2,,1,2698.5833
03818604,07,2018,980000,2,,2,2867.75
03818604,07,2018,980000,2,,3,3252.5833
03818604,07,2018,980000,2,,4,2496.9167
03818604,07,2018,980000,2,,5,2410.5
03818604,08,2018,980000,2,,1,2698.5833
03818604,08,2018,980000,2,,2,2867.75
03818604,08,2018,980000,2,,3,3252.5833
03818604,08,2018,980000,2,,4,2496.9167
03818604,08,2018,980000,2,,5,2410.5
03818604,09,2018,980000,2,,1,2698.5833
03818604,09,2018,980000,2,,2,2867.75
03818604,09,2018,980000,2,,3,3252.5833
03818604,09,2018,980000,2,,4,2496.9167
03818604,09,2018,980000,2,,5,2410.5
03818624,07,2018,900030,2,,1,2470
03818624,07,2018,900030,2,,2,2470
03818624,07,2018,900030,2,,3,2470
03818624,07,2018,900030,2,,4,2470
03818624,07,2018,900030,2,,5,2470
03818624,08,2018,900030,2,,1,2470
03818624,08,2018,900030,2,,2,2470
03818624,08,2018,900030,2,,3,2470
03818624,08,2018,900030,2,,4,2470
03818624,08,2018,900030,2,,5,2470
03818624,09,2018,900030,2,,1,2470
03818624,09,2018,900030,2,,2,2470
03818624,09,2018,900030,2,,3,2470
03818624,09,2018,900030,2,,4,2470
03818624,09,2018,900030,2,,5,2470
03818624,07,2018,900170,2,,1,400
03818624,07,2018,900170,2,,2,400
03818624,07,2018,900170,2,,3,400
03818624,07,2018,900170,2,,4,400
03818624,07,2018,900170,2,,5,400
03818624,08,2018,900170,2,,1,400
03818624,08,2018,900170,2,,2,400
03818624,08,2018,900170,2,,3,400
03818624,08,2018,900170,2,,4,400
03818624,08,2018,900170,2,,5,400
03818624,09,2018,900170,2,,1,400
03818624,09,2018,900170,2,,2,400
03818624,09,2018,900170,2,,3,400
03818624,09,2018,900170,2,,4,400
03818624,09,2018,900170,2,,5,400
03818624,07,2018,980000,2,,1,2870
03818624,07,2018,980000,2,,2,2870
03818624,07,2018,980000,2,,3,2870
03818624,07,2018,980000,2,,4,2870
03818624,07,2018,980000,2,,5,2870
03818624,08,2018,980000,2,,1,2870
03818624,08,2018,980000,2,,2,2870
03818624,08,2018,980000,2,,3,2870
03818624,08,2018,980000,2,,4,2870
03818624,08,2018,980000,2,,5,2870
03818624,09,2018,980000,2,,1,2870
03818624,09,2018,980000,2,,2,2870
03818624,09,2018,980000,2,,3,2870
03818624,09,2018,980000,2,,4,2870
03818624,09,2018,980000,2,,5,2870
03818634,07,2018,800940,2,,1,223.75
03818634,07,2018,800940,2,,2,169.0833
03818634,07,2018,800940,2,,3,178.9167
03818634,07,2018,800940,2,,4,194.5
03818634,07,2018,800940,2,,5,190.75
03818634,08,2018,800940,2,,1,223.75
03818634,08,2018,800940,2,,2,169.0833
03818634,08,2018,800940,2,,3,178.9167
03818634,08,2018,800940,2,,4,194.5
03818634,08,2018,800940,2,,5,190.75
03818634,09,2018,800940,2,,1,223.75
03818634,09,2018,800940,2,,2,169.0833
03818634,09,2018,800940,2,,3,178.9167
03818634,09,2018,800940,2,,4,194.5
03818634,09,2018,800940,2,,5,190.75
03818634,07,2018,900000,2,,1,2925
03818634,07,2018,900000,2,,2,2210.6667
03818634,07,2018,900000,2,,3,2339.0833
03818634,07,2018,900000,2,,4,2542.5833
03818634,07,2018,900000,2,,5,2493.25
03818634,08,2018,900000,2,,1,2925
03818634,08,2018,900000,2,,2,2210.6667
03818634,08,2018,900000,2,,3,2339.0833
03818634,08,2018,900000,2,,4,2542.5833
03818634,08,2018,900000,2,,5,2493.25
03818634,09,2018,900000,2,,1,2925
03818634,09,2018,900000,2,,2,2210.6667
03818634,09,2018,900000,2,,3,2339.0833
03818634,09,2018,900000,2,,4,2542.5833
03818634,09,2018,900000,2,,5,2493.25
03818634,07,2018,980000,2,,1,2925
03818634,07,2018,980000,2,,2,2210.6667
03818634,07,2018,980000,2,,3,2339.0833
03818634,07,2018,980000,2,,4,2542.5833
03818634,07,2018,980000,2,,5,2493.25
03818634,08,2018,980000,2,,1,2925
03818634,08,2018,980000,2,,2,2210.6667
03818634,08,2018,980000,2,,3,2339.0833
03818634,08,2018,980000,2,,4,2542.5833
03818634,08,2018,980000,2,,5,2493.25
03818634,09,2018,980000,2,,1,2925
03818634,09,2018,980000,2,,2,2210.6667
03818634,09,2018,980000,2,,3,2339.0833
03818634,09,2018,980000,2,,4,2542.5833
03818634,09,2018,980000,2,,5,2493.25
03818654,07,2018,900030,2,,1,3303
03818654,07,2018,900030,2,,2,3303
03818654,07,2018,900030,2,,3,3303
03818654,07,2018,900030,2,,4,3303
03818654,07,2018,900030,2,,5,3303
03818654,08,2018,900030,2,,1,3303
03818654,08,2018,900030,2,,2,3303
03818654,08,2018,900030,2,,3,3303
03818654,08,2018,900030,2,,4,3303
03818654,08,2018,900030,2,,5,3303
03818654,09,2018,900030,2,,1,3303
03818654,09,2018,900030,2,,2,3303
03818654,09,2018,900030,2,,3,3303
03818654,09,2018,900030,2,,4,3303
03818654,09,2018,900030,2,,5,3303
03818654,07,2018,980000,2,,1,3303
03818654,07,2018,980000,2,,2,3303
03818654,07,2018,980000,2,,3,3303
03818654,07,2018,980000,2,,4,3303
03818654,07,2018,980000,2,,5,3303
03818654,08,2018,980000,2,,1,3303
03818654,08,2018,980000,2,,2,3303
03818654,08,2018,980000,2,,3,3303
03818654,08,2018,980000,2,,4,3303
03818654,08,2018,980000,2,,5,3303
03818654,09,2018,980000,2,,1,3303
03818654,09,2018,980000,2,,2,3303
03818654,09,2018,980000,2,,3,3303
03818654,09,2018,980000,2,,4,3303
03818654,09,2018,980000,2,,5,3303
03818664,07,2018,800940,2,,1,356.4167
03818664,07,2018,800940,2,,2,286.5
03818664,07,2018,800940,2,,3,224.1667
03818664,07,2018,800940,2,,4,153.75
03818664,07,2018,800940,2,,5,134.5833
03818664,08,2018,800940,2,,1,356.4167
03818664,08,2018,800940,2,,2,286.5
03818664,08,2018,800940,2,,3,224.1667
03818664,08,2018,800940,2,,4,153.75
03818664,08,2018,800940,2,,5,134.5833
03818664,09,2018,800940,2,,1,356.4167
03818664,09,2018,800940,2,,2,286.5
03818664,09,2018,800940,2,,3,224.1667
03818664,09,2018,800940,2,,4,153.75
03818664,09,2018,800940,2,,5,134.5833
03818664,07,2018,900000,2,,1,2992.5833
03818664,07,2018,900000,2,,2,2078
03818664,07,2018,900000,2,,3,1263.4167
03818664,07,2018,900000,2,,4,343.6667
03818664,07,2018,900000,2,,5,93
03818664,08,2018,900000,2,,1,2992.5833
03818664,08,2018,900000,2,,2,2078
03818664,08,2018,900000,2,,3,1263.4167
03818664,08,2018,900000,2,,4,343.6667
03818664,08,2018,900000,2,,5,93
03818664,09,2018,900000,2,,1,2992.5833
03818664,09,2018,900000,2,,2,2078
03818664,09,2018,900000,2,,3,1263.4167
03818664,09,2018,900000,2,,4,343.6667
03818664,09,2018,900000,2,,5,93
03818664,07,2018,900090,2,,1,58.3333
03818664,07,2018,900090,2,,2,58.3333
03818664,07,2018,900090,2,,3,58.3333
03818664,07,2018,900090,2,,4,58.3333
03818664,07,2018,900090,2,,5,58.3333
03818664,08,2018,900090,2,,1,58.3333
03818664,08,2018,900090,2,,2,58.3333
03818664,08,2018,900090,2,,3,58.3333
03818664,08,2018,900090,2,,4,58.3333
03818664,08,2018,900090,2,,5,58.3333
03818664,09,2018,900090,2,,1,58.3333
03818664,09,2018,900090,2,,2,58.3333
03818664,09,2018,900090,2,,3,58.3333
03818664,09,2018,900090,2,,4,58.3333
03818664,09,2018,900090,2,,5,58.3333
03818664,07,2018,900150,2,,1,450
03818664,07,2018,900150,2,,2,450
03818664,07,2018,900150,2,,3,450
03818664,07,2018,900150,2,,4,450
03818664,07,2018,900150,2,,5,450
03818664,08,2018,900150,2,,1,450
03818664,08,2018,900150,2,,2,450
03818664,08,2018,900150,2,,3,450
03818664,08,2018,900150,2,,4,450
03818664,08,2018,900150,2,,5,450
03818664,09,2018,900150,2,,1,450
03818664,09,2018,900150,2,,2,450
03818664,09,2018,900150,2,,3,450
03818664,09,2018,900150,2,,4,450
03818664,09,2018,900150,2,,5,450
03818664,07,2018,900160,2,,1,833.3333
03818664,07,2018,900160,2,,2,833.3333
03818664,07,2018,900160,2,,3,833.3333
03818664,07,2018,900160,2,,4,833.3333
03818664,07,2018,900160,2,,5,833.3333
03818664,08,2018,900160,2,,1,833.3333
03818664,08,2018,900160,2,,2,833.3333
03818664,08,2018,900160,2,,3,833.3333
03818664,08,2018,900160,2,,4,833.3333
03818664,08,2018,900160,2,,5,833.3333
03818664,09,2018,900160,2,,1,833.3333
03818664,09,2018,900160,2,,2,833.3333
03818664,09,2018,900160,2,,3,833.3333
03818664,09,2018,900160,2,,4,833.3333
03818664,09,2018,900160,2,,5,833.3333
03818664,07,2018,980000,2,,1,4334.25
03818664,07,2018,980000,2,,2,3419.6667
03818664,07,2018,980000,2,,3,2605.0833
03818664,07,2018,980000,2,,4,1685.3333
03818664,07,2018,980000,2,,5,1434.6667
03818664,08,2018,980000,2,,1,4334.25
03818664,08,2018,980000,2,,2,3419.6667
03818664,08,2018,980000,2,,3,2605.0833
03818664,08,2018,980000,2,,4,1685.3333
03818664,08,2018,980000,2,,5,1434.6667
03818664,09,2018,980000,2,,1,4334.25
03818664,09,2018,980000,2,,2,3419.6667
03818664,09,2018,980000,2,,3,2605.0833
03818664,09,2018,980000,2,,4,1685.3333
03818664,09,2018,980000,2,,5,1434.6667
03818674,07,2018,800940,2,,1,142.75
03818674,07,2018,800940,2,,2,142.75
03818674,07,2018,800940,2,,3,142.75
03818674,07,2018,800940,2,,4,142.75
03818674,07,2018,800940,2,,5,142.75
03818674,08,2018,800940,2,,1,142.75
03818674,08,2018,800940,2,,2,142.75
03818674,08,2018,800940,2,,3,142.75
03818674,08,2018,800940,2,,4,142.75
03818674,08,2018,800940,2,,5,142.75
03818674,09,2018,800940,2,,1,142.75
03818674,09,2018,800940,2,,2,142.75
03818674,09,2018,800940,2,,3,142.75
03818674,09,2018,800940,2,,4,142.75
03818674,09,2018,800940,2,,5,142.75
